vi,cn
Tiều đặng thâm thâm cổ thụ điên.,樵嶝深深古樹巔。
"Cao các đối giang sổ quy nhạn,",高閣對江數歸雁，
Thanh âm cứ thạch trạc phi tuyền.,清陰踞石濯飛泉。
"Tự tri nhàn tịch phi ngô sự,",自知閒寂非吾事，
Vị cảm luân tâm dữ túc thiền.,未敢輪心與足禪。
"Bất kham điên đảo thị suy Thương,",不堪顛倒視衰商，
Trung tiết chiêu hồi nhật nguyệt quang.,忠節昭回日月光。
"Cuồng, độn cánh thuỳ ưu cố quốc,",狂遁更誰憂故國，
Qui châm hà cảm phụ thời vương.,規箴何敢負時王。
"Nhân nhân tâm khiếu phi tường ngược,",人仁心竅非戕虐，
Phương bá y nhung thả hối tàng.,方霸衣戎且晦藏。
"Lục thất thánh hiền di tích diểu,",六七聖賢遺跡渺，
Lũng đầu cô ổ tiểu bi hương.,壟頭孤塢小碑香。
"Thiên thiên di tích thính ai minh,",芊芊遺跡聽哀鳴，
Sắt sắt thu thanh diệp lạc thanh.,瑟瑟秋聲葉落聲。
"Do thị nguyệt minh tam kính cúc,",猶是月明三徑菊，
Vị hà phong tiễn nhất chi kinh.,謂何風剪一枝荊。
"Tuý dư hoa giáp nan thành tịch,",醉余花甲難成席，
Trước nhữ ban y bất tại đình.,著汝斑衣不在庭。
"Cạnh phú linh nguyên vô thiểu bổ,",競賦鴒原無少補，
Phật tiền đính lễ phúng tâm kinh.,佛前頂禮諷心經。
"Vãn vân kiếm kích bích toàn ngoan,",挽雲劍戟碧巑岏，
Hải thẩn thôn triều quyển tuyết lan.,海唇吞潮捲雪瀾。
"Xuyết địa hoa điền xuân vũ tễ,",綴地花鈿春雨霽，
Hám thiên tùng lại vãn sương hàn.,撼天松籟晚霜寒。
"Sơn hà kim cổ song khai nhãn,",山河今古雙開眼，
Hồ Việt doanh thâu nhất ỷ lan.,胡越贏輸一倚欄。
"Giang thuỷ đình hàm tà nhật ảnh,",江水渟涵斜日影，
Thác nghi chiến huyết vị tằng can.,錯疑戰血未曾乾。
"Sóc phong xuy hải khí lăng lăng,",朔風吹海氣凌凌，
Khinh khởi ngâm phàm quá Bạch Đằng.,輕起吟帆過白藤。
"Ngạc đoạn kình khô sơn khúc khúc,",鱷斷鯨刳山曲曲，
Qua trầm kích chiết ngạn tằng tằng.,戈沉戟折岸層層。
"Quan hà bách nhị do thiên thiết,",關河百二由天設，
Hào kiệt công danh thử địa tằng.,豪傑功名此地曾。
"Vãng sự hồi đầu ta dĩ hĩ,",往事回頭嗟已矣，
Lâm lưu phủ ảnh ý nan thăng.,臨流撫影意難勝。
"Biển chu Thiên Đức hệ tà huy,",扁舟天德繫斜暉，
Vong Nguyễn hoang khâu dĩ tích thì.,亡阮荒丘已昔時。
"Túc túc di linh tàng trạch thụ,",肅肅遺靈藏澤樹，
Thanh thanh cổ sắc chẩm giang tì.,青青古色枕江祠。
"Đồng quan vô phục thành long khí,",桐棺無復成龍氣，
Hoa biểu duy tồn túc hạc chi.,華表惟存宿鶴枝。
"Ngưng trữ bách niên thành nhất khái,",凝佇百年成一慨，
Hoàng hôn tiểu lập tự nga thi.,黃昏小立自哦詩。
"Lục Đầu giang thượng Mạc thành hoang,",六頭江上莫城荒，
Đoạn bích tàn bi mộ chiếu thương.,斷壁殘碑暮照蒼。
"Hoa thảo kỷ kinh xuân đại tạ,",花草幾經春大謝，
Giang sơn do tiếu cổ hưng vong.,江山猶笑古興亡。
"Yên mê viễn phố hương tình trọng,",烟迷遠浦鄊情重，
Vân đoạn cô thôn lữ tứ mang.,雲斷孤村旅思忙。
"Nam vọng thần loan hà xứ thị,",南望宸鑾何處是，
Hy luân nhất phiến dũng thương lang.,曦輪一片湧滄浪。
"Bái liễu đan đình sấn Nhị hà,",拜了丹庭趁珥河，
Chinh bào phá hiểu ánh hồng hà.,征袍破曉映紅霞。
"Giang đình khiển quyển do khuynh cái,",江亭繾綣猶傾蓋，
Dịch lộ khu trì dĩ chỉ xa.,驛路驅馳已止車。
"Vạn lý hàng hàng tuỳ lữ thứ,",萬里行行隨侶次，
Cửu tiêu luyến luyến vọng kinh hoa.,九霄戀戀望京華。
"Tinh diêu ký thủ quy kỳ nhật,",星軺記取歸其日，
Bàng đĩnh tường đầu lung nhật hoa.,傍挺牆頭籠日花。
"Vãn tận thiên hà tẩy giáp binh,",挽盡天河洗甲兵，
Miếu đường vô ý sự biên chinh.,廟堂無意事邊征。
"Giang sơn hữu hạn phân nam bắc,",江山有限分南北，
Hồ Việt đồng phong các đệ huynh.,胡越同風各弟兄。
"Nguyệt mãn man thôn nhàn dạ tích,",月滿蠻村閒夜析，
Vũ dư dã thiếu lạc xuân canh.,雨餘野燒樂春耕。
"Quân ân vị hiệu quyên trần báo,",君恩未效涓塵報，
Nhất cá ninh từ vạn lý hành.,一個寧辭萬里行。
"Bát thiên nhật dịch giá chinh yên,",八千馹繹駕征鞍，
Vạn cảnh thanh quang vọng nhãn khoan.,萬景清光望眼寬。
"Hoa lĩnh thiên cao vân lạc mạc,",華嶺天高雲落莫，
Động Đình nguyệt chiếu thuỷ thanh liên.,洞庭月照水清漣。
"Tần cung, Sở quán kim hà tại,",秦宮楚館今何在，
"Hán điện, Tuỳ lâu cổ hữu truyền.",漢殿隋樓古有傳。
"Mạc vị Thiên Thai vô xứ mịch,",莫謂天台無處覓，
Yên Đài đáo xứ thị thần tiên.,燕臺到處是神仙。
"Tiền niên Đinh đế đáo sơn gian,",前年丁帝到山間，
Thuỷ trúc hoàng thiên hậu thổ đàn.,始築黃天后土壇。
"Tụ nghĩa thạch bi truyền vãng sự,",聚義石碑傳往事，
Sơ lâm tự ký cáo nhân hoàn.,初林字記告人還。
"Cổ thời dĩ biến thuỳ tham vấn,",古時已變誰摻問，
Kim ý tiềm canh đáp dị quan.,今意潛耕答異觀。
"Tây quốc loa đầu giai thổ mộc,",西國螺頭皆土木，
Tế bần khước tặc mặc vô can.,濟貧卻賊默無干。
"Nam sơn viễn viễn hiểu lôi minh,",南山遠遠曉雷鳴，
Tự hướng nhân gian tố bất bình.,似向人間訴不平。
"Nhất xuất điện quang thiên hữu thuấn,",一出電光天有瞬，
Tài qua phong tín trúc vô thanh.,纔過風信竹無聲。
"Bồn gian thử tổ sân nùng đạm,",盆間鼠祖嗔濃淡，
Dã ngoại cưu phu đố vũ tình.,野外鳩夫妒雨晴。
"Trì tửu cách ly đối lân tẩu,",持酒隔籬對鄰叟，
Hà phương sách sách thoại tang canh.,何妨嘖嘖話桑耕。
"Nan tầm nam dũng tại gia trung,",難尋男勇在家中，
Nhất quốc giai như thán bích khung.,一國皆如歎碧穹。
"Phu tử dĩ xuy anh khí diễm,",夫子已吹英氣焰，
Quan tham hựu phấn phụ tâm hưng.,官貪又奮婦心興。
"Trưng vương nam bắc nhân sùng trọng,",徵王南北人崇重，
Trình tướng chinh chu tặc tán vong.,程將征朱賊散亡。
"Thế vận bất phù mưu bất toại,",世運不扶謀不遂，
Tiền thời tâm sự hậu đương cung.,前時心事後當恭。
"Cù lao cúc dục thủ như bồng,",劬勞鞠育首如蓬，
Nhũ bộ đa tư bảo mẫu công.,乳哺多資保姆功。
"Noãn dục mỗi hoài kê đại áp,",卵育每懷雞代鴨，
Ngoã chương ninh luận huỷ phi hùng.,瓦璋寧論虺非熊。
"Bình sinh bất thức chi vô tự,",平生不識芝無字，
Trú dạ thường quan cưỡng bảo đồng.,晝夜常關襁褓童。
Cảm cáo thân dân chư phụ mẫu,敢告親民諸父母，
Tu tri bảo xích nhất ban đồng.,須知保赤一般同。
"Thập tải trần ai ám ngọc trừ,",十載塵埃暗玉除，
Bách niên thành phủ bán hoang khư.,百年城府半荒墟。
"Yêu ma trùng điểu cao phi tận,",么麼虫鳥高飛盡，
Chỉ uế càn khôn huyết chiến dư.,滓濊乾坤血戰餘。
"Tang tử binh tiền thiên lý lệ,",桑梓兵前千里淚，
Thân bằng đăng hạ sổ hàng thư.,親朋燈下數行書。
"Ngư long lãnh lạc nhàn thu dạ,",魚龍冷落閒秋夜，
Bách chủng u hoài vị nhất sư.,百種幽懷未一攄。
"Lô hà nam há thuỷ ương ương,",瀘河南下水泱泱，
Cách ngạn đê mê vọng Bát Tràng.,隔岸低迷望缽場。
"Ngu khí tựu đào tư mậu dịch,",虞器就陶資貿易，
Sở vân vô vũ tự phiêu dương.,楚雲無雨自飄揚。
"Hà bồng tự ốc liên trường ngạn,",葭芃序屋連長岸，
Tải thổ quy phàm quải tịch dương.,載土歸帆掛夕陽。
"Chiếm đắc tứ thời phong nguyệt hảo,",占得四時風月好，
Yên ba giang thượng vãng lai thương.,煙波江上往來商。
"Bất thị đam bần bất tố quan,",不是眈貧不做官，
Tố quan dung dị tố nhân nan.,做官容易做人難。
"Ngã tâm phỉ thạch cùng di cố,",我心匪石窮彌固，
Thiên đạo như toàn vãng phục hoàn.,天道如旋往復還。
"Đạm tửu tá xan trùng túc muộn,",淡酒借餐沖宿悶，
Tàn lô lưu hoả hộ tiêu hàn.,残爐留火護宵寒。
"Nhất sinh đắc táng tiêu nhàn mộng,",一生得喪消閒夢，
Lưu thủ tu mi đối lưỡng gian.,留取鬚眉對两間。
"Nô độn niên lai hứa quốc thân,",駑鈍年來許國身，
Trì khu dạ dạ khởi hiềm tần.,馳驅夜夜豈嫌頻。
"Gian trinh phi phạp tân cam tễ,",艱貞非乏辛甘劑，
Cát lợi toàn bằng phú dữ quân.,吉利全憑賦與鈞。
"Súc hữu lý thì tu dưỡng chính,",畜有履時須養正，
Tổn phùng ích xứ tiện hồi xuân.,損逢益處便回春。
"Hiền ngôn cứu tật hằng sinh huệ,",賢言疚疾恆生惠，
Tôn tiết thanh tu thị bảo chân.,樽節清修是保真。
"Trầm thuỷ yên tiêu khách mộng thanh,",沈水煙消客夢清，
Hàn đăng vô ngữ bạng nhân minh.,寒燈無語傍人明。
"Ngân hà cảnh cảnh lưu đương hộ,",銀河耿耿流當戶，
Hoàng diệp tiêu tiêu lạc mãn thành.,黃葉蕭蕭落滿城。
"Yểm hoạ trì đài thu trứ sắc,",奄畫池臺秋著色，
Thuỷ ngân thế giới nguyệt đa tình.,水銀世界月多情。
"Khởi nhân nhất bệnh thương hào khí,",豈因一病傷豪氣，
Thuỵ khởi cuồng ca tứ bích kinh.,睡起狂歌四壁驚。
"Chu xa điều đệ hảo phùng quân,",舟車迢遞好逢君，
Hương cận chi lan cửu bất văn.,香近芝闌久不聞。
"Trịnh trọng đình mai xuân bán điểm,",鄭重亭梅春半點，
Đê hồi lương nguyệt dạ bình phân.,低徊梁月夜平分。
"Sổ thanh ban mã tê phương thảo,",數聲斑馬嘶芳草，
Nhất phiến cô phàm quải tịch vân.,一片孤帆掛夕雲。
"Đa thiểu biệt tình nan tận thoại,",多少別情難盡話，
Mạn tương tam lộng ký ly quần.,謾將三弄記離群。
"Phiến phàm cao triển vãn phong khinh,",片帆高颭晚風輕，
Mộ túc Bình Nam cổ huyện thành.,暮宿平南古縣城。
"Đăng ảnh chiếu nhân hoà nguyệt ảnh,",燈影照人和月影，
Thụ thanh xao mộng tính than thanh.,樹聲敲夢併灘聲。
"Hồ sơn hữu ước vi sơ chí,",湖山有約違初志，
Tuế nguyệt như lưu mạn thử sinh.,歲月如流漫此生。
"Dạ bán thú lâu xuy hoạ giốc,",夜半戍樓吹畫角，
Khách trung thê sảng bất thăng tình.,客中悽愴不勝情。
"Uyển diên nhất đới bạch diêm thành,",碗蜒一帶白鹽城，
Dũng đạo nam hồi hoán Bố Chinh.,甬道南回喚布征。
"Cổ quái dân tâm chân khả uý,",古怪民心真可畏，
Thù ly ngôn ngữ bất kham thinh.,侏璃言語不堪聽。
"Bồng cao thất ốc am cư lậu,",蓬篙室屋諳居陋，
Võng cổ hương thôn túc trị sinh.,網罟鄉村足治生。
"Chỉ xích thần đô Tam Phụ địa,",咫尺神都三輔地，
Dã ưng giản phác tiệm khai minh.,也應簡樸漸開明。
"Động xuất nham yêu nhất vọng thâm,",洞出岩腰一望深，
Tà dương nguy đặng khách đăng lâm.,斜陽危磴客登臨。
"Khởi tu thổ mộc thi điêu hoạ,",豈須土木施彫畫，
Khẳng hứa trần ai nhiễm bích kim.,肯許塵埃染碧金。
"Bất nhị môn trung lưu trúc ảnh,",不二門中留竹影，
Bán thiên phong lý hưởng kình âm.,半天風裡響鯨音。
"Phùng tăng vị tất kham tương thoại,",逢僧未必堪相話，
Đãi bạch vân quy vấn cổ kim.,待白雲歸問古今。
"Tiên vân tình nhật tuyết hoa thiên,",鮮雲晴日雪花天，
Yên cảnh tam xuân thắng liễu xuyên.,煙景三春勝柳川。
"Hồng liễu bạch tần ngâm huống vị,",紅蓼白蘋吟況味，
La quần ỷ tụ tuý nhân duyên.,羅裙綺袖醉因緣。
"Thả đàm hồ hải Giang Nam sĩ,",且談湖海江南士，
Hưu phỏng phong lưu Thái Thạch tiên.,休訪風流采石仙。
"Cực phố tà dương ca hoãn trạo,",極浦斜陽歌緩棹，
Kỷ nhân đồng tải Hiếu liêm thuyền!,幾人同載孝廉船。
"Ngọc tỉnh phương lai bích ngẫu tài,",玉井方來碧藕栽，
Đương song phất kỷ túc đê hồi.,當窗拂幾足低徊。
"Trì tài dung nguyệt viên nhi tịnh,",池才容月圓而淨，
Hoa ái lâm phong hiểu bán khai.,花愛臨風曉半開。
"Tú cú hảo canh Khang Lạc vịnh,",秀句好賡康樂詠，
Nhàn tình hí bả Trịnh Công bôi.,閑情戲把鄭公杯。
"Trạch hoàn điểm thác phương lân bạn,",宅環點托芳鄰伴，
Dĩnh nhạ cao phương đái tuý hồi.,穎惹高芳帶醉回。
"Lữ tứ như thuần trứ xứ nùng,",旅思如醇著處濃，
Tương đầu huống ngộ Quách Lâm Tông.,相投況遇郭林宗。
"Thanh phân Sở giáp Tam Giang thuỷ,",清分楚峽三江水，
Hương nhạ Liên hoa Thập Trượng phong.,香惹蓮花十丈峰。
"Hào khí trực tương lăng bích Hán,",毫氣直將凌碧漢，
Tao âm bất thí khấu hoàng chung.,騷音不啻叩黃鍾。
"Tỉnh ngô nguyệt chiếu quy diêu ảnh,",井梧月照歸軺影，
Hảo hướng Thiên Đô ấp tiếu dung.,好向天都挹笑容。
"Tiền triều thuỳ thị Bùi hành khiển,",​前朝誰是裴行遣，
Cố lý y nhiên thử học đường.,故里依然此學堂。
"Hữu bản tỉnh tuyền trừng đạo mạch,",有本井泉澄道脈，
Thường xuân hoa thảo đới thư hương.,常春花草帶書香。
"Sinh phùng thánh thế sinh tư lạc,",生逢聖世生斯樂，
Thọ tại tài danh thọ đắc trường.,壽在才名壽得長。
"Tùng lĩnh thanh thanh Mai thuỷ bạch,",松嶺青青梅水白，
Thời lai tiện hữu đại văn chương.,時來便有大文章。
"Hạ thanh hà xứ bắc giang khâm,",下清何處北江襟，
U tịch như tằng hữu phạm lâm.,幽寂如曾有梵林。
"Chung cổ y hy sơn hưởng lượng,",鐘鼓依稀山響喨，
Lâu đài ẩn hiện thụ âm thâm.,樓臺隱現樹陰深。
"Bất tình phàm tiếp đồ danh lợi,",不情帆楫徒名利，
Vô lượng hà sa tự cổ kim.,無量河沙自古今。
"Nhất vĩ thuỳ tam tăng tại phủ,",一葦垂參僧在否，
Tĩnh quan dư diệc dục thiền tâm.,靜觀余亦欲禪心。
"Nhất tòng tị địa dao tiên lũng,",一從避地遙先壟，
Yểm hốt kim triêu hựu kỵ thần.,奄忽今朝又忌辰。
"Sương lộ hiếu tư không tại niệm,",霜露孝思空在念，
Tần phiền bạc điện cánh thuỳ nhân.,蘋蘩薄奠更誰因。
"Bát thiên lý lộ tha hương khách,",八千里路他鄉客，
Tứ thập ngũ niên vô mẫu thân.,四十五年無母身。
"Tâm tích thử thời câm bất đắc,",心析此時禁不得，
Lâm phong sái lệ bội thương thần!,臨風洒淚倍傷神。
"Canh cải đa đoan tử phục sinh,",更改多端死復生，
Du du hương lý bất thăng tình.,悠悠鄉里不勝情。
"Nam quan điều đệ ưng đầu bạch,",南關迢遞應頭白，
Bắc quán yêm lưu giác mộng kinh.,北館淹留覺夢驚。
"Tướng quốc tài nan tàm Lý Bật,",相國才難慚李泌，
Thiên đô kế chuyết khốc Bàn Canh.,遷都計拙哭盤庚。
"Kim âu kiến khuyết vô do hợp,",金歐見缺無由合，
Đãi giá tu tri ngọc phỉ khinh.,待價須知玉匪輕。
"Thế sự du du nại lão hà,",世事悠悠奈老何，
Vô cùng thiên địa nhập hàm ca.,無窮天地入酣歌。
"Thời lai đồ điếu thành công dị,",時來屠釣成功易，
Vận khứ anh hùng ẩm hận đa.,運去英雄飲恨多。
"Trí chúa hữu hoài phù địa trục,",致主有懷扶地軸，
Tẩy binh vô lộ vãn thiên hà.,洗兵無路挽天河。
"Quốc thù vị báo đầu tiên bạch,",國讎未報頭先白，
Kỷ độ Long Tuyền đới nguyệt ma.,幾度龍泉戴月磨。
"Dạ thự, vân không, kiến thuý vi,",夜曙雲空見翠微，
"Thiên biên du tử quải chinh y,",天邊遊子掛征衣。
"Nguyệt tà viễn tự chung sơ động,",月斜遠寺鍾初動，
Sương lạc hàn giang tịch thuỷ quy.,霜落寒江汐始歸。
"Thu nhập Ngũ hồ hoà ngã cộng,",秋入五湖和我共，
Tâm quan Tam Điệp hữu thuỳ tri.,心關三疊有誰知。
"Tinh ngôn thử tịch như hà tịch,",星言此夕如何夕，
Cấm lậu canh thâm bị triệu thì.,禁漏更深被召時。
"Mặc thụ đồng chương thập nhị niên,",墨綬銅章十二年，
Thử thân nhật vọng thánh triều liên.,此身日望聖朝憐。
"Bệnh nhân đa sự thả hưu hĩ,",病因多事且休矣，
Phúc hữu nhất xan do quả nhiên.,腹有一餐猶果然。
"Khứ quốc khởi vô bằng bối tại,",去國豈無朋輩在，
Quy gia vị tất tử tôn hiền.,歸家未必子孫賢。
"Mông lung bả trản tòng kim sự,",曚曨把盞從今事，
Chỉ khủng di ô đáo giản biên!,祇恐遺洿到簡編！
"Uổng tác thanh biên tiếu mạ nhân,",枉作青編笑罵人，
Si minh hà hạ cố quan thân.,癡瞑何暇顧冠紳。
"Đạn luân tuỳ hoá phi do nhĩ,",彈輪隨化非由爾，
Phong nghĩ vô tri thượng hữu quân.,蜂蟻無知尚有君。
"Quỳ thảo dục khô do hướng nhật,",葵草欲枯猶向日，
Bồng căn dĩ đoạn khởi tri xuân.,蓬根已斷豈知春。
"Tân triều túng hảo phi ngô phận,",新朝縱好非吾分，
Trở thị doanh thâu mộng vị chân.,俎是贏輸夢未真。
"Nhất niên thuỳ tận dạ thâm lai,",一年垂盡夜深來，
Đăng hoả minh tinh chiếu đế đài.,燈火明星照帝臺。
"Bồng Các thử đồng y thủ tuế,",蓬閣此同衣守歲，
Đồ tô kỷ chước hậu xưng bôi.,屠蘇幾勺後稱盃。
"Toạ kinh Giáp Tý tu du quá,",坐驚甲子須臾過，
Cánh khủng cung hồ điểm chích thôi.,更恐宮壺點滴催。
"Vị phỏng Đông Pha xà hệ túc,",爲訪東坡蛇系足，
Thi thành bát cú khiếm xao thôi.,詩成八句欠敲推。
"Thu hứng đình tiền nguyệt khứ thì,",秋興亭前月去時，
Mãn lâu sơn sắc tác tân thi.,滿樓山色索新詩。
"Tâm như liễu nhứ triêm nê tảo,",心如柳絮沾泥早，
Thân tự liên hoa xuất thuỷ trì.,身似蓮花出水遲。
"Kinh quyển dĩ thâu cư sĩ lạc,",經卷已輸居士樂，
Tửu tôn nghi dữ khả nhân kỳ.,酒樽宜與可人期。
"Ỷ lan khán biến Lang Hồ cảnh,",倚闌看遍郎湖景，
Trần tục phân phân tổng bất tri.,塵俗紛紛總不知。
"Thanh ngâm nhất khúc kỷ hồi văn,",清吟一曲幾回聞，
"Bán nhập giang lưu, bán nhập vân.",半入江流半入雲。
"Khứ Tấn dĩ ưng liên Tĩnh Tiết,",去晉已應憐靜節，
Xuất Hồ thuỳ phục ức Chiêu Quân.,出胡誰復憶昭君。
"Ngọc Quan chiết liễu nan vi điệu,",玉關折柳難為調，
U kính tài lan tri tự phân.,幽徑栽蘭知自芬。
"Thán tức giai nhân đa bất ngộ,",嘆息佳人多不遇，
Cận đăng đối chước cụ ân cần.,近燈對酌具慇勤。
"Dĩ thập niên dư bất tại gia,",已十年餘不在家，
Như kim phụ kỵ diệc thiên nhai.,如今父忌亦天涯。
"Mỗi tư thiểu hoán bài đăng chúc,",每思少喚排燈燭，
Lâm nhật duy tương dụng thái trà.,臨日惟將用菜茶。
"Lỵ sở ngưỡng kỳ khư tặc đảng,",莅所仰祈祛賊黨，
Hành thì phục nguyện khước sầu đa.,行時伏愿卻愁多。
"Bệnh trung thường ức hồi hương ngoạ,",病中常憶回鄉臥，
Vũ sái sơn biên lệ mãn hoà.,雨灑山邊淚滿和。
"Chanh giang tự cổ bạn Chanh lâm,",棦江自古伴棦林，
Thanh thuỷ thanh sơn bất dị tầm.,清水青山不易尋。
"Hữu phố hữu kiều đồng luyến khách,",有浦有橋同戀客，
Vô gia vô thị thượng tri âm.,無家無市尚知音。
"Tích thì vãn trú nhân nan đắc,",昔時挽住人難得，
Đương nhật hoan nghênh sự dĩ trầm.,當日歡迎事已沉。
"Kim ngộ xuân lai phùng vũ dạ,",今遇春來逢雨夜，
Hoặc đình vấn tửu hoán thuỳ châm.,或停問酒喚誰斟。
"Tễ vũ tình khai tế nhật lâm,",霽雨晴開蔽日林，
Chân cơ hoảng nhược kiến thiên tâm.,真機恍若見天心。
"Ngưu trầm tung dẫn, hồ quang tĩnh,",牛沉蹤泯湖光靜，
"Phụng khứ đài không, thảo sắc thâm.",鳳去臺空草色深。
"Thôn ổ khinh yên phù thuỷ đạm,",村塢輕煙浮水淡，
Tháp tiền thương thuý lạc hoa âm.,塔前蒼翠落花陰。
"Nhất đài thế giới hồn như tẩy,",一臺世界渾如洗，
Bất giả truy trần bán điểm xâm.,不假緇塵半點侵。
"Thành thị sinh nhai cánh nghiệp ngư,",城市生涯更業漁，
Thanh phong minh nguyệt bạn phù cư.,清風明月伴浮居。
"Bán giang yên lãng thiên tầm bích,",半江煙浪千尋碧，
Bách xích ty can nhất diệp hư.,百尺絲竿一葉虛。
"Đông Bộ sa bình khan bạng duật,",東步沙平看蚌鷸，
Tang Châu lạo tận lữ hà ngư.,桑州潦盡侶蝦魚。
"Giang hồ quảng mạc nhân vô sự,",江湖廣漠人無事，
Hoán tửu quy lai thả phạn sơ.,換酒歸來且飯蔬。
"Tần Thành lĩnh bạn thảo mông nhung,",秦城嶺畔草蒙茸，
Kiến chỉ Minh Phi táng lũng trung.,見指明妃塟隴中。
"Thuế trướng túng nhiên liên bạc mệnh,",毳帳縱然憐薄命，
Hương liêm hà tự lão thâm cung.,香奩何似老深宮。
"Liễu my linh lạc hàm thu lộ,",柳眉泠落含秋露，
Cầm vận thê thanh yết sóc phong.,禽韻凄清咽朔風。
"Thiên cổ mạn cừu Diên Thọ hoạ,",千古謾仇延壽畫，
Phi thường nhan mạo bút nan công.,非常顏貌筆難工。
"Thử địa niên tiền nhất hoạn du,",此地年前一宦遊，
Nhi kim nhân vật bán như thu.,而今人物半如秋。
"Nhi cô phụ quả thiên gia khốc,",兒孤婦寡千家哭，
Ốc đảo thuyền phiêu vạn hộ sầu.,屋倒船漂萬戶愁。
"Ai ngã chưng lê tao thử nạn,",哀我蒸藜遭此難，
Quái tai cụ mẫu tuyết hà cừu.,怪哉颶母雪何仇。
"Xuân Trường cựu hữu thân dân trách,",春長舊有親民責，
Thiện sách tàm ngô vị bán trù.,善策慚吾未半籌。
"Tuế nguyệt thông thông hoàn chí nhật,",歲月匆匆還至日，
Phiêu linh uất uất chỉ cùng sầu.,飄零鬱鬱只窮愁。
"Mãn tiền phong tuyết nan câm đắc,",滿前風雪難禁得，
Hà xứ thân bằng cánh khả cầu.,何處親朋更可求？
"Thanh mộng tam canh tần đoạn tục,",清夢三更頻斷續，
Hư sinh bán thế túc trầm phù.,虛生半世足沉浮。
"Dương hồi tiện thị càn khôn thái,",陽回便是乾坤泰，
Vị hợp minh thời nhất lỗ tù.,未合明時一虜囚。
"Đình thảo thành sào liễu hựu ty,",庭草成巢柳又絲，
Chinh phu hà nhật thị quy kỳ?,征夫何日是歸期？
"Bán liêm tàn nguyệt thương tâm dạ,",半簾殘月傷心夜，
Nhất chẩm đề quyên lạc lệ thì.,一枕啼鵑落淚時。
"Tái bắc vân trường cô nhạn ảnh,",塞北雲長孤雁影，
Giang nam xuân tận lão nga my.,江南春盡老蛾眉。
"Tạc lai kỷ độ tương tư mộng,",昨來幾度相思夢，
Tằng đáo quân biên tri bất tri?,曾到君邊知不知？
"Thế sự hồi đầu dĩ nhất không,",世事迴頭已一空，
Giang sơn vô lệ khấp anh hùng.,江山無淚泣英雄。
"Vạn dân nô lệ cường quyền hạ,",萬民奴隸強權下，
Bát cổ văn chương thuỵ mộng trung.,八股文章睡夢中。
"Trường thử bách niên cam thoá mạ,",長此百年甘唾罵，
Cánh tri hà nhật xuất lao lung?,更知何日出牢籠。
"Chư quân vị tất vô tâm huyết,",諸君未必無心血，
Thí hướng tư văn khán nhất thông.,試向斯文看一通。
"Hoàng đường dung dữ đáo thanh san,",黃堂容與到青山，
Viễn hoạn vô phương tá nhất nhàn.,遠宦無妨借一閒。
"Thảo hữu đông trùng nghi nhưỡng tửu,",草有冬蟲宜釀酒，
