vi,cn
"Củ củ cát cú,",糾糾葛屨，
Nhất giang lưỡng quốc nan phân thuyết;,一江兩國難分說；
Nhiễu nhiễu bách niên gian.,擾擾百年間。
"Bất ẩm hồ vi tuý ngột ngột,",不飲胡為醉兀兀，
Chỉnh đốn càn khôn tế thì liễu.,整頓乾坤濟時了。
"Ta phù! Thế chí Xuân Thu, Đại Nhã vong hĩ. Bỉ liệt quốc chi danh khanh, cạnh bôn trì ư danh lợi. Bát Dật, Ung Triệt, ký manh tiếm thiết chi tâm; Thiều Hạ Hộ Võ, khởi nhập tục nhân chi nhĩ! Phân Trịnh Vệ chi thị đam, mộ nhã nhạc hề năng kỷ? Trác tự bát ư nhân quần, nãi độc văn ư Quí Tử.",嗟夫！世至春秋，大雅亡矣。彼列國之名卿，競奔馳於名利。八佾，雍徹，既萌僭竊之心；韶夏護武，豈入俗人之耳。紛鄭衛之是眈，慕雅樂兮能幾？卓自撥於人群，乃獨聞於季子。
Điền gia tân khổ khả nại hà.,田家辛苦可奈何！
"Hành nhân nhật mộ thiểu,",行人日暮少，
"Đàn cầm cổ sắt,",彈琴鼓瑟，
Danh vị khởi khẳng ti vi hưu.,名位豈肯卑微休。
Thanh Môn qua địa tân đống liệt.,青門瓜地新凍裂。
"Nãi như chi nhân dã,",乃如之人也，
"Vô nhân tương tựu túc,",無人相就宿，
"Loạn sinh bất di,",亂生不夷，
Ý thử đại tự.,殪此大兕。
Ly trung tú sắc hoạ bình hu.,籬中秀色畫屏紆。
Song lệ lạc quân tiền.,雙淚落君前。
"Đạt cập đức hạnh,",達及德行，
Dũ bái khể thủ đạo thả vũ:,愈拜稽首蹈且舞：
Đào Tiềm tuý nhật đa.,陶潛醉日多。
Thuỳ trãi quân hề nhất trường.,誰薦君兮一觴。
"Mưu bất khả chúng,",謀不可眾，
"Đạo nhân tùng lâm thập niên cựu,",道人叢林十年舊，
"Quân lại quá giả cố chi tha,",軍吏過者顧之他，
"Ky nhân yển ngoạ hình thương hoàng,",羈人偃臥形蒼黃，
Ý mạc cưỡng cầu.,意莫強求。
"Hạ liêm đàn không hầu,",下簾彈箜篌，
Khoa đầu khởi hướng ly biên khai.,科頭起向籬邊開。
"Vị tri can đảm hướng thuỳ thị,",未知肝膽向誰是，
Di ái tưởng tượng thiên thu thuỳ.,遺愛想像千秋垂。
Tứ phương chi cương.,四方之綱。
Lãng Châu thành bắc Ngọc Đài bích.,閬州城北玉臺碧。
"Nam kỷ vu lư chướng bất tuyệt,",南紀巫廬瘴不絕，
Trung gian tác giả tịch bất văn.,中間作者寂不聞。
Mãn đầu đoản phát giai bồng tùng.,滿頭短髮皆蓬鬆。
"Phú vị tất, khách nạn chi viết: “Sinh văn minh chi thời giả, bất đàm uy vũ chi công; đăng ung hi chi triều giả, bất ngôn chiến phạt chi sự. Quyết kim thánh triều, thăng bình cực trị. Hỗn tứ hải ư nhất gia, đồng xa thư ư văn quĩ. Bao can qua dĩ hổ bì, tiêu phong đích vi nông khí. Hoà khí áng hồ cửu châu, nhân phong huân hồ lưỡng tế. Tử phương ngao tường phượng nghi chi đình, vũ đạo tấu Thiều chi địa. Phản nhi chi khu khu sính điêu trùng chi mạt kỹ, xưng tạp bá chi tích, muội đế vương chi ý. Hề thời vụ chi bất thông, vi hữu thức chi sở bỉ”.",賦未畢，客難之曰：生文明之時者，不談威武之功；登雍熙之朝者，不言戰伐之事。厥今聖朝，昇平極治。混四海於一家，同車書於文軌。包干戈以虎皮，銷鋒鏑為農器。和氣盎乎九州，仁風薰乎兩際。子方翱翔鳳儀之庭，舞蹈奏韶之地。反而之區區騁雕虫之末技，稱雜伯之蹟，昧帝王之懿。奚時務之不通，為有識之所鄙。
"Nhi hựu hà tiện hồ nhân sinh chi trường cần,",而又何羨乎人生之長勤，
An tri sa bất biến vi hải.,安知沙不變為海。
Tuy hữu nhã ước do tần tu.,雖有雅約猶嚬羞。
Hoàn tùng vật ngoại khởi điền viên.,還從物外起田園。
Hà xứ trục anh hùng.,何處逐英雄。
"Xá hạ duẫn xuyên tường,",舍下筍穿牆，
"Lẫm liệt hàn uy xâm đoản mấn,",凜烈寒威侵短鬢，
Chiết hoa điều hành khách.,折花調行客。
Mạc uỷ mẫu tâm.,莫慰母心。
"Kim thì tân thức nhân,",今時新識人，
"Tương kỳ âm dương,",相其陰陽，
Hoa thì quân bất chí.,花時君不至。
"Quyết hội nghĩ ư băng đê,",決潰蟻於崩堤，
"Ngân bình sạ phá thuỷ tương bính,",銀瓶乍破水漿迸，
Ô cữu hồng kinh thập độ sương.,烏臼紅經十度霜。
"Mạch hoà cảo tử túc bất thục,",麥禾稿死粟不熟，
Nam nhi tín mệnh tuyệt khả liên.,男兒信命絕可憐。
Lỗi tửu nhất thương.,酹酒一觴。
Ty ty hội nhạ sầu.,絲絲會惹愁。
Bất hoàng khải xứ.,不遑啟處。
Hữu tất kỳ hương.,有飶其香。
Hình ảnh tự tương liên.,形影自相憐。
Tằng bất tri kỳ điếm.,曾不知其玷。
Sổ nhi toạ ngoại chỉ dao đàm.,數兒坐外指遙談。
"Đa sinh ỷ ngữ ma bất tận,",多生綺語磨不盡，
Thái bình thành tượng doanh thu môn.,太平成象盈秋門。
Kinh nguyệt bão đạm tùng hoa hương.,經月飽啖松花香。
"Quyển thư tuỳ sở thích,",卷舒隨所適，
"Hồn hề mạc oán sa tràng tử,",魂兮莫怨沙場死，
"Đãn nguyện tướng quân trọng lập công,",但願將軍重立功，
"Tri quân thử kế thành trường vãng,",知君此計成長往，
"Vọng thu nguyệt,",望秋月，
"Mã sinh noãn hề, ngoại vật quan vật,",馬生卵兮外物觀物，
"Phan Lệnh chi đào kết thực, ngã diệc hà cầu.",潘令之桃結實，我亦何求。
Trắc thân bắc vọng thế triêm cân.,側身北望涕沾巾。
"Khinh chu nghinh thượng khách,",輕舟迎上客，
"Tự bỉ Thành Khang,",自彼成康，
"Bất tu khổ tiết bất khả trinh,",不須苦節不可貞，
Sai khả đối ngân công.,差可對銀釭。
"Vũ phát sát Ân,",武發殺殷，
"Năng ngôn chung kiến khí,",能言終見棄，
Quát thiêm hài nhi dĩ tam tuế.,适添孩兒已三歲。
Bất năng nghệ tắc thử.,不能蓺稷黍。
"Trì hạ xu thương trần hạ biểu,",墀下趍蹌陳賀表，
"Tử tôn ngu hề,",子孫愚兮，
Châu huyện nhưng thôi cấp hà dịch.,州縣仍催給河役。
"Trúc diệp liên tao thuý,",竹葉連糟翠，
Hệ hướng ngưu đầu sung thán trị.,繫向牛頭充炭直。
Không sơn ngưng vân đồi bất lưu.,空山凝雲頹不流。
"Vi khách tài ô mạo,",為客裁烏帽，
"Phú quý phi ngô nguyện, đế hương bất khả kỳ.",富貴非吾願，帝鄉不可期。
Bàn nhất dụng nhi minh nhất quy; tâm dũ oánh nhi đức dũ huy.,盤一用而銘一規；心愈瑩而德愈輝。
"Tiêu tiêu mã minh,",蕭蕭馬鳴，
"Thủ huề nhập thị, sinh mại chi.",手攜入市生賣之。
"Lạc bất khả cực,",樂不可極，
"Duy ẩn hiện chi hữu tiết hề, cánh nhị bát nhi độ bất sai phân.",惟隱現之有節兮更二八而度不差分。
"Bạch tửu tân thục sơn trung quy,",白酒新熟山中歸，
"Phản thị bất tê,",反是不思，
Lục nhai xa mã thanh lân lân.,六街車馬聲轔轔。
Gia tân thức yến tuy chi.,嘉賓式燕綏之。
"Hầu tác hầu chú,",侯作侯祝，
"Vương công y trạc,",王公伊濯，
Á tướng trí sĩ.,亞相致仕。
"Tạp anh phân dĩ tích,",雜英紛已積，
"Ngã dục cầu chi bất đạn viễn,",我欲求之不憚遠，
"Kỳ xa tam thiên,",其車三千，
Mộ vũ triêu vân trấn tương tục.,暮雨朝雲鎮相續。
Dạ đảo nhung y hướng minh nguyệt,夜搗戎衣向明月。
Thất gia chi khổn.,室家之壼。
Sắt sắt sâu sâu.,瑟瑟颼颼。
"Đương sơ sủng thiếp phi như kim,",當初寵妾非如今，
Đế tạo tích luỹ.,締造積累。
"Vị kham gia đa nạn,",未堪家多難，
"Văn đạo triều đầu nhất trượng cao,",聞道潮頭一丈高，
"Tự minh cập hối,",自明及晦，
"Ý cẩm khuýnh y,",衣錦褧衣，
Chỉnh đốn mao y do tự hảo.,整頓毛衣猶自好。
"Hoàng thiên tập mệnh,",皇天集命，
Hồi phong táp táp xuy sa trần.,回風颯颯吹沙塵。
"Ôn Tuyền bất đáo, ức thập thuý chi cựu sự,",溫泉不到，憶拾翠之舊事，
"Vân thuỷ vô tâm nãi hữu lực,",雲水無心乃有力，
"Thiên thọ bình cách,",天壽平格，
"Nhược vấn Phật cảnh giới,",若問佛境界，
Phục xuất thanh bồ dương.,復出清蒲揚。
Đãi đắc Ngân Hà kỷ thì độ?,待得銀河幾時渡。
"Yên ngoại hữu chung thanh,",煙外有鐘聲，
"Tường đông hoang hề bão thôn tà,",墻東荒蹊抱村斜，
"Đường tiền bất nhập hồng phấn ý,",堂前不入紅粉意，
Thôn tây nhật dĩ tà.,村西日已斜。
Kỳ chính bất hoạch.,其政不獲。
Bất tri thân tại Ngân Giang dịch.,不知身在銀江驛。
"Lôi quá khê sơn bích vân noãn,",雷過溪山碧雲暖，
"Trượng lũ kỳ du,",杖屨耆遊，
"Xá thư nhất nhật hành vạn lý,",赦書一日行萬里，
Tố nguyệt dục thăng thiên liễm dung.,素月欲升天斂容。
"Bình sinh nhất chích bất nhập khẩu,",平生一滴不入口，
Cử mục Mai Sơn thiên lý viễn,舉目梅山千里遠，
"Giang động nguyệt di thạch,",江動月移石，
"Thử lai chủng đào kinh kỷ xuân,",此來種桃經幾春，
"Quyển mao đạm thiệt hình trạng thù,",卷毛舕舌形狀殊，
Lão khứ tương phùng diệc sảng tình.,老去相逢亦愴情，
"Hoàng hộc cao ư ngũ xích đồng,",黃鵠高於五尺童，
"Hải nạp bách xuyên, hữu dung nãi đại;",海納百川，有容乃大；
"Thiên tùng vạn tùng đồng nhất tùng,",千松萬松同一松，
"Cố chiêm Chu đạo,",顧瞻周道，
Yết trần mạn tắc Trường An lộ.,羯塵漫塞長安路。
Sa song bối hiểu đăng.,紗窗背曉燈。
"Âm mưu giá hoạ,",陰謀嫁禍，
"Hốt nhiên nhất nhật lai tương phùng,",忽然一日來相逢，
Tiền niên giá tác tăng nhân thê.,前年嫁作僧人妻。
Dực diệu kỳ vũ.,熠燿其羽。
Trướng vọng thả vi kim tương ức.,悵望且為今相憶。
"Vạn lý tằng kinh đông tuyết, mộc đầu vị thế nhi tự khôn.",萬里曾經冬雪，沐頭未剃而自髠。
"Tích thời Tôn Xác chí dục tráng,",昔時宗愨志欲壯，
"Thập tứ thái tang nam mạch đầu,",十四采桑南陌頭，
"Hạo thiên hôn ám,",昊天昏暗，
"Hoà lan ung ung,",和鸞雍雍，
Thương mang tầm mịch hương la phách.,倉忙尋覓香羅帕。
Sĩ ngã hồ đường hề!,俟我乎堂兮。
Liêu dĩ vong ưu.,聊以忘憂。
Bất như nông lệ tứ thời lưu.,不如儂淚四時流。
Xướng ca thái trà sơn thượng tẩu.,唱歌採茶山上走。
Vạn lý độ hà Phần.,萬里渡河汾。
Tông miếu tân trừ hồ thố huyệt.,宗廟新除狐兔穴。
"""Cao đường thực ẩm khởi vô khí,",「高堂食飲豈無棄，
"Tòng tiền tống phạn thiên thiên tảo,",從前送飯天天早，
"Đại phu quân tử,",大夫君子，
"Trượng nhân tuấn mã danh Hồ lưu,",丈人駿馬名胡騮，
"Tây sơn nhân gia bạng sơn trụ,",西山人家傍山住，
Hồ sồ ẩm mã Thiên Tân thuỷ.,胡雛飲馬天津水。
Vương hầu công tước tòng căn miêu.,王侯公爵從根苗：
"Lăng lăng kỳ khí thiên tiêu thượng,",凌凌奇氣千霄上，
Hữu thảo yêu yêu đông hạ thanh.,有草夭夭冬夏青。
Mãn giá đồ thư cung ngoạn tụng.,滿架圖書供玩誦。
Báo chi dĩ quỳnh dao.,報之以瓊瑤。
Cường đạo trang chính kinh.,強盜裝正經。
"Yểm lệ tài y viễn ký tương,",掩淚裁衣逺寄将，
Cương tắc thổ chi.,剛則吐之。
"Chỉ xích đãn sầu lôi vũ chí,",咫尺但愁雷雨至，
"Sa bình thuỷ tức thanh ảnh tuyệt,",沙平水息聲影絕，
"Thủ trung điện duệ Ỷ Thiên kiếm,",手中電曳倚天劍，
"Tiên sơn chỉ tại hải trung tâm,",仙山只在海中心，
"Vô thử cương nhĩ giới,",無此疆爾界，
Tặng tử Vân An song lý ngư.,贈子雲安雙鯉魚。
Tạo chúc cầu minh.,造燭求明。
Tiếu chỉ huynh tỷ la thành hàng.,笑指兄姊羅成行。
"Tư cánh trang thúc xuất giang biên,",私更妝束出江邊，
"Suất tây thuỷ hử,",率西水滸，
Hoàng lô khổ trúc nhiễu trạch sinh.,黃蘆苦竹繞宅生。
"Phù vân thướng thiên hoa lạc thụ,",浮雲上天花落樹，
Huề thủ đồng xa.,攜手同車。
"Thử mã lâm trận cửu vô địch,",此馬臨陣久無敵，
Sổ điểm hải đường phi.,數點海棠飛。
"Hải thượng chúng điểu bất cảm phi,",海上眾鳥不敢飛，
Phương thảo nhất đình xuân.,芳草一庭春。
"Mạnh Tân chi thuỷ,",孟津之水，
"Thiên thu vạn tuế thanh kim cầu,",千秋萬歲青金虯，
"Vũ xứ trùng khan hoa mãn diện,",舞處重看花滿面，
Đông các kỷ thì khai?,東閣幾時開？
Bạch mao bao chi.,白茅包之。
Hô long canh yên chủng dao thảo.,呼龍耕煙種瑤草。
"Hành mại mỹ mỹ,",行邁靡靡，
Giang hoả tự lưu huỳnh.,江火似流螢。
Cốt tủng cân cao chỉ nhục tráng.,骨聳筋高脂肉壯。
Cử huy thượng mã thừa dư xuất.,舉麾上馬乘輿出。
Khởi dư hiếu vu cùng tịch.,豈余好于窮僻。
Kết ta ánh thâm trúc.,結罝映深竹。
Hà nhân khẳng độc lai.,何人肯讀來。
Khởi bất tri cơ chức.,豈不知機織。
"Khứ niên Thôi Hộ nhược trùng lai,",去年崔護若重來，
Kiểu như quần đế tham long tường.,矯如群帝驂龍翔。
"Tống quân Nam Phố ngoại,",送君南浦外，
"Dụng tâm bất lương,",用心不良，
"Luyến lang tư lang phi nhất triêu,",戀郎思郎非一朝，
Khắc phối thượng đế.,克配上帝。
Quy tại lạc hoa tiền.,歸在落花前。
"Bất tri thiên hạ sĩ,",不知天下士，
Quân câm thắng ngã câm.,君今勝我今。
Duy dư hầu hưng.,維予侯興。
"Nhược phu hồng mông nhi cư,",若夫鴻蒙而居，
"Hán gia yên trần tại đông bắc,",漢家煙塵在東北，
Thích thích phụ chung.,趯趯阜螽。
"Thượng đế bản bản,",上帝板板，
Tiêu sắt bi mộ thu.,蕭瑟悲暮秋。
"Sâm nhiên phách động hạ mã bái,",森然魄動下馬拜，
Kiến quân tiền nhật thư.,見君前日書。
Không thanh tái hộ âm mô hồ.,空青塞戶陰模糊。
Bích đàm thanh hiệu khiết.,碧潭清皎潔。
"Phương Thúc suất chỉ,",方叔率止，
"Đồng quản hữu vĩ,",彤管有煒，
Dữ nô bạch phạn mã thanh sô.,與奴白飯馬青芻。
"Nhật khang ngu nhi bất dĩ hề, Tuyên Tử gián nhi di sân.",日康娛而不已兮，宣子諫而彌嗔。
"La khâm bất nại thu phong lực,",羅衾不奈秋風力，
"Khởi khởi tái bái tiền trí từ,",啟起再拜前致辞，
"Thụ thượng oanh ca thanh,",樹上鶯歌淸，
Tinh đẩu tại thanh thiên.,星斗在青天。
Bệnh cốt thượng nhĩ nan xanh trì.,病骨尚爾難撐持。
"Lâu các cao đê thụ thiển thâm,",樓閣高低樹淺深，
"Phương tạp tập dĩ my chương,",芳雜襲以彌章，
"Hướng lai hạo thủ kinh vạn nhân,",向來皓首驚萬人，
"Biến điệu như văn dương liễu xuân,",變調如聞《楊柳》春，
Giám cổ tri kim.,鑑古知今。
Vân ngã vô sở.,云我無所。
"Y chỉ lão túc diệc vị vãn,",依止老宿亦未晚，
"Nhược vi vô Hạ lão,",若為無賀老，
"Thức thị nam bang,",式是南邦，
"Điếu quân nhược quan,",弔君弱冠，
Duy lang khổ hận đa câu thúc.,惟郎苦恨多拘束。
Lỗ Ban môn tiền lộng đại phủ.,魯班門前弄大斧。
"Khởi tri tài cập tứ đại tôn,",豈知纔及四代孫，
Phỉ dương bất hy.,匪陽不晞。
Quân thị ngã môn thuỳ khẳng khuất.,君視我門誰肯屈。
Phác phá chính hữu tam bách tiền.,撲破正有三百錢。
"Bạch tước trình thuỵ,",白雀呈瑞，
"Đương thử chi thì, khởi bất tự Hán Cao Cai Hạ tứ nhi chi vi giả gia?",當此之時，豈不似漢高垓下四而之圍者耶？
Hạt hựu cực chỉ?,曷又極止！
"Thiên tái thiểu tự Chu Vân nhân,",千載少似朱雲人，
"Tái bắc vị quân thú,",塞北為君戍，
"Thuyền đầu tuý ngạn ô sa cân,",船頭醉岸烏紗巾，
"Duy đại quân chi bá vật, phú yêu cự chi vạn thù.",維大鈞之播物，賦么鉅之萬殊。
"Hữu thân bất ái,",有親不愛，
Càn khôn nhật nguyệt tằng kỷ hà.,乾坤日月曾幾何。
Giới nhĩ chiêu minh.,介爾昭明。
Uy nghi phản phản.,威儀反反。
Chi linh sự bại.,祗令事敗。
"Hà ác phụ bật,",何惡輔弼，
Pháp pháp tận ly vi.,法法盡离微。
Vô nãi loan giao tục nan đoạn.,無乃鸞膠續難斷。
Chí kim sách sách xưng anh liệt.,至今嘖嘖稱英烈。
"Chỉ xích Trường Môn bế A Kiều,",咫尺長門閉阿嬌，
"Viên cập Khương nữ,",爰及姜女，
Thu phong hựu kiến cúc hoa hoàng.,秋風又見菊花黃。
Duy hữu sơ vi ngâm cùng thu.,唯有疏葦吟窮秋。
"Trương công nhất sinh giang hải khách,",張公一生江海客，
Thú tốt truyền hô lai tiếp nghinh.,戍卒傳呼來接迎。
"Ô hô ngũ ca hề ca chuyển cấp,",嗚呼五歌兮歌轉急，
Bất năng thính chung lệ như vũ.,不能聽終淚如雨。
Ta hồ!,嗟乎！
Ái quốc tư gia chỉ tự bi.,愛國思家只自悲。
Minh sắc sinh hàn thụ.,暝色生寒樹。
"Mang ngạc dĩ oánh hư thu đào,",鋩鍔已瑩虛秋濤，
"Tại đức bất tại hiểm,",在德不在險，
"Dĩ du cứu phần, nhạc hoạ hạnh tai.",以油救焚，樂禍幸災。
"Lê Viên tử đệ bạch phát tân,",梨園子弟白髮新，
Thành nhân chi mỹ.,成人之美。
"Thiên chi tích Vũ, bất tại Lạc thư chi trình, nhi tại lục phủ chi khổng tu.",天之錫禹，不在洛書之呈，而在六府之孔須。
"Toạ trung hữu khách thiên tử khí,",座中有客天子氣，
"Thái phong thái phong,",采葑采葑，
"Hà xứ kết đồng tâm,",何處結同心，
Hoàng hạc vô do quy cố hương.,黃鶴無由歸故鄉。
Hà thuỷ thanh thả liên y!,河水清且漣猗。
"Thuý kiều, kim tước, ngọc tao đầu.",翠翹金雀玉搔頭。
Tiễn tài diệu xứ phi đao xích.,剪裁妙處非刀尺。
Kỳ thuỳ tri chi?,其誰知之？
"Như lâm thâm uyên,",如臨深淵、
Ba thanh bất hiết phàm bất hạ.,波聲不歇帆不下。
"Thiên phong lai vãng điều sinh vu,",天風來往調笙竽，
"Bình cư vô dĩ dị nhân,",平居無以異人，
"Tiểu sự bất nhẫn,",小事不忍，
"Quần thư vạn quyển thường ám tụng,",群書萬卷常暗誦，
Nguyện xuy dã thuỷ thiêm kim bôi.,願吹野水添金杯。
Tây sương nhiễu trúc hàng.,西廂遶竹行。
Thanh âm diểu diểu như ai ngọc.,清音裊裊如哀玉。
Ngao du tứ hải cầu kỳ hoàng.,遨遊四海求其凰。
Tặng chi dĩ thược dược.,贈之以勺藥。
Viêm viêm hồng nhật thăng phù tang.,炎炎紅日升扶桑。
"Vạn lý phi bồng ánh thiên qua,",萬里飛蓬映天過，
"Bỉ lưu Tử Ta,",彼留子嗟，
Hồng tuyến chức thành khả điện phô.,紅線織成可殿鋪。
"Nguyên nhung thập thặng,",元戎十乘，
"Chỉ vu cức,",止于棘。
Bỉnh tâm vô cạnh.,秉心無競。
Cựu chướng vô phục tự trần ai.,舊瘴無復似塵埃。
Văn tự mãn thanh đài.,文字滿青苔。
"Vô nhiên hâm tiễn,",無然歆羨，
Minh mâu hạo xỉ vô nhân tích.,明眸皓齒無人惜。
"Quang Vũ long hưng thành đại thống,",光武龍興成大統，
Đản tiển bất khẳng thành kiêu lô.,袒跣不肯成梟盧。
"Thì thì văn điểu ngữ,",時時聞鳥語，
Điền gia nhi nữ đề oa oa.,田家兒女啼呱呱。
Chinh tứ thôi nhân sổ thanh cổ.,征思催人數聲鼓。
"Kiều, Tiền niên kỷ.",喬籛年紀。
Hoạ thuyền tải lạc châu biên lai.,畫船載樂洲邊來。
"Cao cầu như cáo,",羔裘如膏，
"U sầu thu khí thượng thanh phong,",幽愁秋氣上青楓，
"Lương tướng đầu thượng tiến hiền quan,",良相頭上進賢冠，
Bích sa như yên cách song ngữ.,碧紗如煙隔窗語。
Liệt văn tích công.,烈文辟公。
Dĩ yến thiên tử.,以燕天子。
"Tảo tri như thử hối quy lai,",早知如此悔歸來，
"Kiêm cầu phú hào thả cát tiên,",兼求富豪且割鮮，
"Điều, thường, chiên, vị, sắc thắng ngân.",鰷鱨鱣鮪色勝銀。
"Hồi khan thiên tế hạ trung lưu,",迴看天際下中流，
"Tối khổ nhung biên hề, nhật dạ bàng hoàng,",最苦戎邊兮，日夜徬徨，
Hà dĩ tốt tuế?,何以卒歲？
"Độc bội hàn đăng cứ cảo ngô,",獨背寒燈據稿梧，
Ưng lân Phạm thúc hàn.,應憐范叔寒。
"Tướng quân khoa bảo kiếm,",將軍誇寶劍，
"Tự bá chi đông,",自伯之東，
Viên đắc ngã sở.,爰得我所。
Huống nãi kim triêu cánh phất trừ.,況乃今朝更祓除。
Dị vu trung cốc.,施于中谷。
Độc lập sa châu bàng.,獨立沙洲旁。
Vô luân tư dĩ vong.,無淪胥以亡。
"Phỉ đông phương tắc mang (minh),",「匪東方則明，
"Trâu, Mai biệt hậu kim kỷ niên,",邾枚別後今幾年，
"Quế chi lạc nhi tiêu vong,",桂枝落而銷亡，
Hoa Lư đô thị Hán Trường An.,花閭都是漢長安。
Thái không hằng tịch liêu.,太空恆寂寥。
Thức hãn tranh khan Bình Thúc bạch.,拭汗爭看平叔白。
Quân bất kiến tiền giả tồi chiết đồng.,君不見前者摧折桐。
"Chủ nhân bình phong tả kỳ trạng,",主人屏風寫奇狀，
Xuân sắc khởi tri tâm.,春色豈知心。
"Đạo nhân cấu tựu Bảo Chân quán,",道人構就葆真觀，
"Ta nhĩ tích nhân,",嗟爾昔人，
Yên đắc phù phác ngưu?,焉得夫朴牛？
Mộ u thám hề Vũ huyệt.,暮幽探兮禹穴。
Cốt ngạnh tuyệt đại vô.,骨鯁絕代無。
"Đế viết hữu bang, bỉ xu giả tử.",帝曰有邦彼姝者子。
"Đốc Công Lưu,",篤公劉，
Hảo hướng lâm tuyền nhất cao ẩn.,好向林泉一高隱。
Trung thu đối viễn san.,中秋對遠山。
Kê khuyển không tại gia.,雞犬空在家。
"Đông xuất Thanh Môn lộ bất cùng,",東出青門路不窮，
"Tự tòng chư lỗ chí phi sương,",自從瀦滷至飛霜，
Mã dạ hột đậu nhưng sổ tuần.,馬夜齕豆仍數巡。
Vi diệu độc tâm tri.,微妙獨心知。
Thứ kiến tố y hề!,庶見素衣兮，
"Cưu cư thước cấu thương chuẩn nhập,",鳩居鵲構蒼隼入，
Thử nhật vô do thức khoan trách.,此日無由識寛窄。
"Mạn lập viễn thị nhi vọng hạnh yên,",縵立遠視而望幸焉、
Hà tất tại thâm sơn.,何必在深山。
Tựu thử giang hề tẩy giáp binh.,就此江兮洗甲兵。
"Bất căn nhi sinh tòng ý sinh,",不根而生從意生，
"Chấp chi võng lượng thuỳ năng tiền,",執之魍魎誰能前，
"Bỉ trạch chi ba,",彼澤之陂，
"Như Giang như Hán,",如江如漢，
"Lưu Yên phụ tử cứ Ba Thục,",劉焉父子據巴蜀，
"Nhân tuỳ sa ngạn hướng giang thôn,",人隨沙岸向江村，
Khả dĩ âu kiên.,可以漚菅。
Na hữu biệt ly sầu.,那有別離愁。
"Bành khanh châm trĩ,",彭鏗斟雉，
Chiêm thuỷ cánh bội.,譫始竟背。
Thân lễ phòng dĩ tự trì.,申禮防以自持。
Cộng bi đồng tình,共悲同情
Hách như ốc trước.,赫如渥赭，
Bảo thoa diễm vũ quang chiếu tịch.,寶釵艷舞光照席。
"Quân mạc tiếu, Lưu Nghị tòng lai bố y nguyện,",君莫笑，劉毅從來布衣願，
"Hữu tửu hữu tửu,",有酒有酒，
Sĩ ngã hồ hồng hề!,俟我乎巷兮。
Độc vãng sự triêu cấp.,獨往事朝汲。
"Bách nhi sát chi, chước nhược phù dung xuất lục ba.",迫而察之，灼若芙蓉出淥波。
Chi tử thỉ mỹ thắc.,之死矢靡慝，
"Thu cảnh kim tiêu bán,",秋景今宵半，
Nguyện tác Dương Đài nhất đoạn vân.,愿作陽臺一斷雲。
Độc lợi tắc ly.,獨利則離。
"Đỗ quyên bất lai viên dứu hàn,",杜鵑不來猿狖寒，
"Ô hô nhất chi xuân hải đường,",嗚呼一枝春海棠，
Mãnh tướng yêu gian đại vũ tiễn.,猛將腰間大羽箭。
"Kết phát ân thâm tiễn chỉ phan,",結髮恩深剪紙幡，
