vi,cn
"Sơn trung mộng lãnh y Hoằng Cảnh,",山中夢冷依弘景，
Hồ bạn ca tàn ỷ Mạc Sầu.,湖畔歌殘倚莫愁。
"Ngô điện kim thoa Lương viện cổ,",吳殿金釵梁院鼓，
Dương hoa yến tử cộng du du.,楊花燕子共悠悠。
"Hồng thụ nhất khê lưu thuỷ,",紅樹一溪流水，
Thanh sơn thiên lý tà dương.,青山千里斜陽。
"Dục hoán biển chu quy khứ,",欲喚扁舟歸去，
Thử sinh vị bốc hành tàng.,此生未卜行藏。
"Triêu phát cổ điền điền,",朝發鼓闐闐，
Tây phong lạp hoạ chiên.,西風獵畫旃。
"Cố hương phiêu dĩ viễn,",故鄉飄已遠，
Vãng ý hạo vô biên.,往意浩無邊。
"Cẩm thuỷ tế bất kiến,",錦水細不見，
Man giang thanh khả liên.,蠻江清可憐。
"Bôn đằng quá Phật cước,",奔騰過佛腳，
Khoáng đãng tháo bình xuyên.,曠蕩造平川。
"Dã thị hữu thiền khách,",野市有禪客，
Điếu đài tầm mộ yên.,釣臺尋暮煙。
"Tương kỳ định tiên đáo,",相期定先到，
Cửu lập thuỷ sàn sàn.,久立水潺潺。
Nhân giai dưỡng tử vọng thông minh.,人皆養子望聰明。
Ngã bị thông minh ngộ nhất sinh.,我被聰明誤一生。
"Duy nguyện hài nhi ngu thả lỗ,",惟愿孩兒愚且魯，
Vô tai vô nạn đáo công khanh.,無災無難到公卿。
"Trường niên hà sự bất bi thu,",長年何事不悲秋，
Kim nhật thiên nhai sầu phục sầu.,今日天涯愁復愁。
"Cố quốc lão hoè không tịch tịch,",故國老槐空寂寂，
Bán thiên quy nhạn tự du du.,半天歸雁自悠悠。
"Cố tri Dữu Tín đa thanh lệ,",故知庾信多清淚，
Hà sự Đào Tiềm diệc bạch đầu.,何事陶潛亦白頭。
"Tiền nhật gia nhân đới thu diệp,",前日家人帶楸葉，
Cầu thân cường kiện cánh hà cầu.,求身強健更何求。
"Giang ngạn mai hoa chính bạch,",江岸梅花正白，
Thuyền đầu tế vũ tà phi.,船頭細雨斜飛。
"Hành khách tam danh bắc khứ,",行客三名北去，
Tướng quân nhất trạo nam quy.,將軍一棹南歸。
"Bất nại hà, bất nại hà,",不奈何，不奈何，
Nhất trường tam đoản đại dao ngoa.,一長三短大謠訛。
"Đương thời bất thị Giang Tây lão,",當時不是江西老，
Nhất khẩu hoành thôn khởi bích ba.,一口橫吞起碧波。
"Ẩn kỳ lôi,",殷其雷，
Tại nam sơn chi dương.,在南山之陽。
Hà tư vi tư?,何斯違斯？
Mạc cảm hoặc hoàng.,莫敢或遑。
Chân chân quân tử,振振君子，
Quy tai! Quy tai!,歸哉！歸哉！
"Ẩn kỳ lôi,",殷其雷，
"Tại nam sơn chi trắc,",在南山之側。
Hà tư vi tư?,何斯違斯？
Mạc cảm hoàng tức.,莫敢遑息。
"Chân chân quân tử,",振振君子，
Quy tai! Quy tai!,歸哉！歸哉！
"Ẩn kỳ lôi,",殷其雷，
Tại Nam sơn chi hụ.,在南山之下。
Hà tư vi tư?,何斯違斯？
Mạc cảm hoàng xử.,莫敢遑處。
"Chân chân quân tử,",振振君子，
Quy tai! Quy tai!,歸哉！歸哉！
"Phiếm bỉ bách chu,",泛彼柏舟，
Diệc phiếm kỳ lưu.,亦泛其流。
Cảnh cảnh bất mỵ.,耿耿不寐，
Như hữu ẩn ưu.,如有隱憂。
"Vi ngã vô tửu,",微我無酒，
Dĩ ngao dĩ du.,以敖以遊。
"Phiếm bỉ bách chu,",泛彼柏舟，
Tại bỉ trung hà.,在彼中河。
"Đãm bỉ lưỡng mao,",髡彼兩髦，
Thực duy ngã nga.,實維我儀。
Chi tử thỉ mỹ tha.,之死矢靡它，
"Mẫu dã thân chỉ,",母也天只，
Bất lượng nhân chỉ.,不諒人只！
"Phiếm bỉ bách chu,",泛彼柏舟，
Diệc phiếm kỳ lưu.,亦泛其流。
Cảnh cảnh bất mỵ.,耿耿不寐，
Như hữu ẩn ưu.,如有隱憂。
"Vi ngã vô tửu,",微我無酒，
Dĩ ngao dĩ du.,以敖以遊。
"Phiếm bỉ bách chu,",泛彼柏舟，
Tại bỉ hà trắc.,在彼河側。
"Đãm bỉ lưỡng mao,",髡彼兩髦，
Thực duy ngã đặc,實維我特。
Chi tử thỉ mỹ thắc.,之死矢靡慝，
"Mẫu dã thân chỉ,",母也天只，
Bất lượng nhân chỉ.,不諒人只！
"Ngã tâm phỉ giám,",我心匪鑒，
Bất khả dĩ như.,不可以茹。
"Diệc hữu huynh đệ,",亦有兄弟，
Bất khả dĩ cứ.,不可以據。
"Bạc ngôn vãng tố,",薄言往愬，
Phùng bỉ chi nộ.,逢彼之怒。
"Ngã tâm phỉ thạch,",我心匪石，
Bất khả chuyển dã.,不可轉也。
"Ngã tâm phỉ tịch,",我心匪席，
Bất khả quyển dã.,不可卷也。
"Uy nghi đệ đệ,",威儀棣棣，
Bất khả tuyển dã.,不可選也。
"Ưu tâm thiểu thiểu,",憂心悄悄，
Uẩn vu quần tiểu.,慍于群小。
"Cấu mẫn ký đa,",覯閔既多，
Thụ vụ bất thiểu.,受侮不少。
"Tịnh ngôn tư chi,",靜言思之，
Mỵ tịch hữu biểu.,寤辟有摽。
"Nhật cư nguyệt chư,",日居月諸，
Hồ điệt nhi vi.,胡迭而微？
Tâm chi ưu hĩ!,心之憂矣，
"Như phỉ hoán y,",如匪浣衣。
"Tịnh ngôn tư chi,",靜言思之，
Bất năng phấn phi.,不能奮飛。
"Xuất tự bắc mân,",出自北門，
Ưu tâm ân ân.,憂心殷殷。
Chung cụ thả bần.,終窶且貧，
Mạc tri ngã cân (gian).,莫知我艱。
Dĩ yên ti?,已焉哉！
Thiên thực vi chi.,天實為之，
Vị chi hà ti?,謂之何哉！
"Vương sự thích ngã,",王事適我，
Chính sự nhất tỳ ích ngã.,政事一埤益我，
"Ngã nhập tự ngoại,",我入自外，
Thất nhân giao biến trích ngã.,室人交遍謫我。
Dĩ yên ti?,已焉哉！
"Thiên thực vi chi,",天實為之，
Vị chi hà ti ti?,謂之何哉。
"Vương sự đôi ngã,",王事敦我，
Chính sự nhất tỳ dôi ngã.,政事一埤遺我，
"Ngã nhập tự ngoại,",我入自外，
Thất nhân giao biến tồi ngã.,室人交遍摧我。
Dĩ yên ti?,已焉哉！
Thiên thực vi chi.,天實為之，
Vị chi hà ti?,謂之何哉。
"Bắc phong kỳ lương,",北風其涼，
Vũ tuyết kỳ phương.,雨雪其雱。
"Huệ nhi hiếu ngã,",惠而好我，
Huề thủ đồng hàng.,攜手同行。
"Kỳ hư kỳ từ,",其虛其邪，
Ký cức chỉ thư.,既亟只且！
"Bắc phong kỳ kê,",北風其喈，
Vũ tuyết kỳ phi.,雨雪其霏。
"Huệ nhi hiếu ngã,",惠而好我，
Huề thủ đồng quy.,攜手同歸。
"Kỳ hư kỳ từ,",其虛其邪，
Ký cức chỉ thư.,既亟只且！
"Mạc xích phỉ hồ,",莫赤匪狐，
Mạc hắc phỉ ô.,莫黑匪烏。
"Huệ nhi hiếu ngã,",惠而好我，
Huề thủ đồng xa.,攜手同車。
"Kỳ hư kỳ từ,",其虛其邪，
Ký cức chỉ thư.,既亟只且。
Bá hề khiết hề!,伯兮朅兮，
Bang chi kiệt hề!,邦之桀兮！
"Bá dã chấp thù,",伯也執殳，
Vi vương tiền khu.,為王前驅。
"Tự bá chi đông,",自伯之東，
Thủ như phi bồng.,首如飛蓬。
Khỉ vô cao mộc?,豈無膏沐？
Thuỳ đích vi dung?,誰適為容。
"Kỳ vũ kỳ vũ,",其雨其雨？
