vi,cn
"Phức đạo hành không, bất tễ hà hồng?",複道行空、不霽何虹？
"Cao đê minh mê, bất tri tây đông.",高低冥迷、不知西東。
"Ca đài noãn hưởng, xuân quang dung dung.",歌臺暖響、春光融融。
"Vũ điện lãnh tụ, phong vũ thê thê.",舞殿冷袖、風雨淒淒。
"Nhất nhật chi nội, nhất cung chi gian, nhi khí hậu bất tề.",一日之內、一宮之間、而氣候不齊。
"Phi tần dắng tường, vương tử hoàng tôn, từ lâu hạ điện liễn lai ư Tần.",妃嬪媵嬙、王子皇孫、辭樓下殿輦來於秦。
"Triêu ca dạ huyền, vi Tần cung nhân.",朝歌夜絃、為秦宮人。
"Minh tinh huỳnh huỳnh, khai trang kính dã,",明星熒熒、開妝鏡也、
"Lục vân nhiễu nhiễu, sơ hiểu hoàn dã,",綠雲擾擾、梳曉鬟也、
"Vị lưu trướng nhị, khí chi thuỷ dã,",渭流漲膩、棄脂水也、
"Yên tà vụ hoành, phần tiêu lan dã,",煙斜霧橫、焚椒蘭也、
"Lôi đình sạ kinh, cung xa quá dã,",雷霆乍驚、宮車過也、
"Lộc lộc viễn thính, yểu bất tri kỳ sở chi dã.",轆轆遠聽、杳不知其所之也。
"Nhất cơ nhất dung, tận thái cực nghiên,",一肌一容、盡態極妍、
"Mạn lập viễn thị nhi vọng hạnh yên,",縵立遠視而望幸焉、
Hữu bất đắc kiến giả tam lục niên.,有不得見者三六年。
"Yên Triệu thu tàng, Hàn Nguỵ chi kinh doanh,",燕趙收藏、韓魏之經營、
"Tề Sở chi tinh anh, kỷ thế kỷ niên, thủ lược kỳ nhân, ỷ điệp như sơn.",齊楚之精英、幾世幾年、取掠其人、倚疊如山。
"Nhất đán bất năng hữu, thâu lai kỳ gian.",一旦不能有、輸來其間。
"Đỉnh sanh ngọc thạch, kim khối châu lịch, khí trịch lệ dĩ.",鼎鐺玉石、金塊珠礫、棄擲邐迤。
"Tần nhân thị chi, diệc bất thậm tích.",秦人視之、亦不甚惜。
Ta hồ!,嗟乎！
"Nhất nhân chi tâm, thiên vạn nhân chi tâm dã.",一人之心、千萬人之心也。
"Tần ái phân xa, nhân diệc niệm kỳ gia.",秦愛紛奢、人亦念其家。
"Nại hà thủ chi tận truy thù, dụng chi như nê sa!",奈何取之盡錙銖、用之如泥沙！
"Sử phụ đống chi trụ, đa ư nam mẫu chi nông phu,",使負棟之柱、多於南畝之農夫、
"Giá lương chi chuyên, đa ư cơ thượng chi công nữ,",架梁之椽、多於機上之工女、
"Đinh đầu lân lân, đa tại dữu chi túc lạp,",釘頭磷磷、多在庾之粟粒、
"Ngoã phùng tham soa, đa ư chu thân chi bạch lũ,",瓦縫參差、多於周身之帛縷、
"Trực lan hoành hạm, đa ư cửu thổ chi thành quách,",直欄橫檻、多於九土之城郭、
"Quản huyền ẩu á, đa ư thị nhân chi ngôn ngữ.",管絃嘔啞、多於市人之言語。
"Sử thiên hạ chi nhân bất cảm ngôn nhi cảm nộ,",使天下之人不敢言而敢怒、
"Độc phu chi tâm, nhật ích kiêu cố.",獨夫之心、日益驕固。
"Thú tốt khiếu, Hàm Cốc cử,",戍卒叫、函谷舉、
"Sở nhân nhất cự, khả liên tiêu thổ!",楚人一炬、可憐焦土！
Ô hô!,嗚呼！
"Diệt lục quốc giả, lục quốc dã, phi Tần dã,",滅六國者、六國也、非秦也、
"Tộc Tần giả, Tần dã, phi thiên hạ dã.",族秦者、秦也、非天下也。
Ta hồ!,嗟乎！
"Sử lục quốc các ái kỳ nhân, tắc túc dĩ cự Tần,",使六國各愛其人、則足以拒秦、
"Tần phục ái lục quốc chi nhân, tắc đệ tam thế khả chí;",秦復愛六國之人、則遞三世可至、
"Vạn thế nhi vi quân, thuỳ đắc nhi tộc diệt dã?",萬世而為君、誰得而族滅也。
"Tần nhân bất hạ tự ai, nhi hậu nhân ai chi,",秦人不暇自哀、而後人哀之、
"Hậu nhân ai chi nhi bất giám chi,",後人哀之而不鑑之、
Diệc sử hậu nhân phục ai hậu nhân dã!,亦使後人復哀後人也！
Khách hữu:,客有：
"Quải hạn mạn chi phong phàm,",掛汗漫之風帆，
Thập hạo đãng chi hải nguyệt.,拾浩蕩之海月。
"Triêu dát huyền hề Nguyên, Tương,",朝嘎舷兮沅湘，
Mộ u thám hề Vũ huyệt.,暮幽探兮禹穴。
"Cửu Giang, Ngũ Hồ,",九江五湖，
"Tam Ngô, Bách Việt.",三吳百粵。
"Nhân tích sở chí,",人跡所至，
Mị bất kinh duyệt.,靡不經閱。
"Hung thôn Vân Mộng giả sổ bách nhi,",胸吞雲夢者數百而，
Tứ phương tráng chí do khuyết như dã.,四方壯志猶闕如也。
"Nãi cử tiếp hề trung lưu,",乃舉楫兮中流，
Túng Tử Trường chi viễn du.,縱子長之遠遊。
"Thiệp Đại Than khẩu,",涉大灘口，
Tố Đông Triều đầu.,溯東潮頭。
"Để Bạch Đằng giang,",抵白藤江，
Thị phiếm thị phù.,是泛是浮。
"Tiếp kình ba ư vô tế,",接鯨波於無際，
Trám diêu vĩ chi tương mâu.,蘸繇尾之相繆。
"Thuỷ thiên nhất sắc,",水天一色，
Phong cảnh tam thu.,風景三秋。
"Chử địch ngạn lô,",渚获岸蘆，
Sắt sắt sâu sâu.,瑟瑟颼颼。
"Chiết kích trầm giang,",折戟沉江，
Khô cốt doanh khâu.,枯骨盈丘。
"Thảm nhiên bất lạc,",慘然不樂，
Trữ lập ngưng mâu.,佇立凝眸。
"Niệm hào kiệt chi dĩ vãng,",念豪傑之已往，
Thán tung tích chi không lưu.,嘆蹤跡之空留。
"Giang biên phụ lão,",江邊父老，
Vị ngã hà cầu.,謂我何求。
"Hoặc phù lê trượng,",或扶黎杖，
Hoặc trạo cô châu.,或棹孤舟。
Ấp dư nhi ngôn viết:,揖余而言曰：
"“Thử Trùng Hưng nhị thánh cầm Ô Mã Nhi chi chiến địa,",此重興二聖擒烏馬兒之戰地，
Dữ tích thời Ngô thị phá Lưu Hoằng Thao chi cố châu dã.”,與昔時吳氏破劉弘操之故洲也。
Đương kỳ:,當期：
"Trục lô thiên lý,",舳艫千里，
Tinh kỳ ỷ nỉ.,旌旗旖旎。
"Tỳ hưu lục quân,",貔貅六軍，
Binh nhẫn phong khỉ.,兵刃蜂起。
"Thư hùng vị quyết,",雌雄未決，
Nam Bắc đối luỹ.,南北對壘。
"Nhật nguyệt hôn hề vô quang,",日月昏兮無光，
Thiên địa lẫm hề tương huỷ.,天地凜兮將毀。
Bỉ:,彼：
"Tất Liệt chi thế cường,",必烈之勢強，
Lưu Cung chi kế quỷ.,劉龔之計詭。
"Tự vị đầu tiên,",自謂投鞭，
Khả tảo Nam kỷ.,可掃南紀。
Ký nhi:,既而：
"Hoàng thiên trợ thuận,",皇天助順，
Hung đồ phi mỵ.,凶徒披靡。
"Mạnh Đức Xích Bích chi sư đàm tiếu phi hôi,",孟德赤壁之師談笑飛灰，
Bồ Kiên Hợp Phì chi trận tu du tống tử.,符堅合淝之陣須臾送死。
"Chí kim giang lưu,",至今江流，
Chung bất tuyết sỉ.,終不雪恥。
"Tái tạo chi công,",再造之功，
Thiên cổ xưng mỹ.,千古稱美。
Tuy nhiên:,雖然：
"Tự hữu vũ trụ,",自有宇宙，
Cố hữu giang san.,故有江山。
"Tín thiên tạm chi thiết hiểm,",信天塹之設險，
Lại nhân kiệt dĩ điện an.,賴人傑以奠安。
"Mạnh Tân chi hội ưng dương nhược Lã,",孟津之會鷹揚箬呂，
Duy Thuỷ chi chiến quốc sĩ như Hàn.,濰水之戰國士如韓。
"Duy thử giang chi đại tiệp,",惟此江之大捷，
Do đại vương chi tặc nhàn.,猶大王之賊閒。
"Anh phong khả tưởng,",英風可想，
Khẩu bi bất san.,口碑不刊。
"Hoài cổ nhân hề vẫn thế,",懷古人兮隕涕，
Lâm giang lưu hề hậu nhan.,臨江流兮厚顏。
Hành thả ca viết:,行且歌曰：
"“Đại giang hề cổn cổn,",大江兮滾滾，
Hồng đào cự lãng hề triều tông vô tận.,洪濤巨浪兮朝宗無盡。
"Nhân nhân hề văn danh,",仁人兮聞名，
Phỉ nhân hề câu dẫn.”,匪人兮俱泯。
Khách tòng nhi canh ca viết:,客從而賡歌曰：
"“Nhị thánh hề tịnh minh,",二聖兮並明，
Tựu thử giang hề tẩy giáp binh.,就此江兮洗甲兵。
"Hồ trần bất cảm động hề, thiên cổ thăng bình.",胡塵不敢動兮，千古昇平。
"Tín tri: bất tại quan hà chi hiểm hề,",信知：不在關河之險兮，
Duy tại ý đức chi mạc kinh.”,惟在懿德之莫京。
Ô hô!,嗚呼！
Hoa di vọng trọng;,華夷望重；
Xã tắc công cao.,社稷功高。
Mai sổ Tống triều cự tuấn;,枚數宋朝巨俊；
Kỷ như Khấu lão thời mao.,幾如寇老辰髦。
"Hà cố bất tại trung thư, điều đỉnh nhiệm Thương hành chi trọng;",何故不在中書，調鼎任商衡之重；
"Khước nãi viễn lâm sa tái, chiết xung đương Hán khổn chi lao.",却乃遠臨沙塞，折衝當漢閫之勞。
Tất cánh:,畢竟：
Kiến kỵ vu nhân;,見忌于人；
Nan bình giả sự.,難平者事。
Yêu minh sỉ thậm ư Chân Tông;,要盟恥甚於眞宗；
Tự ước cừu thâm ư Vương tử.,沮約仇深於王子。
"Thiền Uyên hạ bế môn thúc thủ, bỉ ký giao túc oán chi vị thư;",澶淵下閉門束手，彼既膠宿怨之未舒；
"Thái Sơn điên điệp ngọc nê kim, tư cánh lự gian mưu chi kiến tự.",泰山巔牒玉泥金，玆更慮奸謀之見沮。
Cố cửu yêm hà thượng chi cao tường;,故久淹河上之翶翔；
Khởi đặc vị sóc phương chi hãn ngữ.,豈特爲朔方之桿禦。
"Thế sự phù vân, bão kiến cẩu y biến thái.",世事浮雲，飽見狗衣變態。
"Lợi trường nhiệt hoả, không giáo nghĩ khổn thành hôi.",利腸熱火，空教蟻悃成灰。
"Trị thử Lê thị thỉ cương, bỉ Tây cừ cấu nạn.",値此黎氏弛綱，彼西渠搆難。
"Sạ thính Ô châu cổ động, dũng dược khu đoàn hổ chi quần dương.",乍聽烏州鼓動，踴躍驅摶虎之羣羊。
"Điều văn long đỗ chung di, gian quan cân độ giang chi thất mã.",條聞龍肚鐘移，間關跟渡江之匹馬。
"Văn dục phấn, phụ sơn chi thế,",蚊欲奮，負山之勢，
"Hồ nghĩ dương, thác hổ chi uy.",狐擬揚，托虎之威。
"Tồn cô sơ học Tấn Trình Anh, chuyển tác Bao Tư phục Sở tá.",存孤初學晉程嬰，轉作包胥復楚佐。
"Hán hậu hy hàn nhụ tử, phiên thành Tín Quốc tù Yên.",漢後希韓孺子，翻成信國囚燕。
"Ngộ cơ chi biến mi thường, hành sự chi tình hà hạ.",遇機之變靡常，行事之情何暇。
"Vạn lý tằng kinh đông tuyết, mộc đầu vị thế nhi tự khôn.",萬里曾經冬雪，沐頭未剃而自髠。
"Thập niên vô nại bắc phong, xuy quan bất huỷ nhi tận liệt.",十年無奈北風，吹冠不毀而盡裂。
"Tâm phảng phất thổ nê chi dẫn, thân y hy đầu chúc chi nga.",心彷彿吐泥之蚓，身依稀投爥之蛾。
"Trở nhự trường cẩu ổ kê tê, lạc an hữu địa.",沮洳場狗塢鷄栖，樂安有地。
"U tù cảnh thử can trùng tí, tặc dư tuỳ thiên.",幽囚境鼠肝蟲臂，賊予隨天。
"Phương thốn trung duy thận vu tòng, chức phận nội hạt năng vô quý.",方寸中惟愼于從，職分內曷能無愧。
"Bắc hải vị sinh, mã giác ti oanh quế lĩnh cửu hồi trường.",北海未生，馬角絲縈桂嶺九迴腸。
"Đỉnh hồ mạc đãi, long nhiêm cầu tích băng thiên song quán lệ.",鼎湖莫逮，龍髯球滴冰天雙串淚。
"Công nghĩa dĩ phi cảm vọng, tư tình phu phục hà ngôn.",公義已非敢望，私情夫復何言。
"Bạch vân toả thụ chỉ du phần, không chúc hệ thư chi nhạn.",白雲鎖樹指楡枌，空囑繫書之雁。
"Hồng nhật hàm sơn chiêm Dĩ Hỗ, thiên tàm phản bô chi ô.",紅日含山瞻屺岵，偏慚反哺之烏。
"Trí sử trung hiếu tự chi lưỡng khuy, vi khiếm bô bá thần chi nhất tử.",致使忠孝字之兩虧，爲欠逋播臣之一死。
"Ta tự cổ thuỳ năng vô tử, dục liễu phận khủng hoặc thương nhân.",嗟自古誰能無死，欲了分恐或傷仁。
"Thả vi nhân thục bất duyệt sinh, dục tòng quyền khủng vưu hại nghĩa.",且爲人孰不悅生，欲從權恐尤害義。
"Minh bạch đãn tuần thiên lý, thư hoàng hề quản nhân ngôn.",明白但循天理，雌黄奚管人言。
"Ngưu mã nhậm kỳ hô, vô tu tâm tức vô quý sắc.",牛馬任其呼，無羞心卽無愧色。
"Long xà an sở ngộ, bất oán thiên diệc bất vưu nhân.",龍蛇安所遇，不怨天亦不尤人。
Ô hô!,嗚呼。
"Thú hựu thủ khâu chi hồ, cầm hựu nam chi chi điểu.",獸有首邱之狐，禽有南枝之鳥。
"Tống Trân Bùi Bá [Kỳ] tại tích, củng bắc kiến đan trung.",宋珍裴伯[耆]在昔，拱北見丹衷。
"Duy Liêu Lê Quang Bí hà nhân, chỉ nam hoàn tố nguyện.",惟僚黎光賁何人，指南完素願。
"Nhi kim dư sinh do vị mẫn, hạo thủ cánh hà quy.",而今餘生猶未冺，皓首竟何歸。
"Du du bỉ thiên, hạt kỳ hữu cực.",悠悠彼天，曷其有極。
"Khách hữu phương thiên khê, chu vạn hác. Thuấn Kỳ Phong, võ Triền Lạc. Lịch Nghiêm lại nhi tả toàn, chỉ Bàn Khê nhi kính bạc. Nga yên thụ chi vi mang, đạm phong vân chi mãng mạc. Kiển trung tâm hề dao dao, niệm giai hứng hề di ngạc. Hốt sương nhiêm chi lão tẩu, xanh vi hàng nhi dao độ.",客有方千溪，舟萬壑。舜岐豐，武瀍洛。礫嚴瀨而左旋，指磻溪而徑泊。睋煙樹之微茫，澹風雲之莽漠。褰中心兮搖搖，念佳興兮貽愕。忽霜髯之老叟，撐葦航而遙渡。
"Khách xu nhi vấn chi, tẩu viết: Tử bất văn Thái Công chi điếu hoàng giả hồ? Đương kỳ ngược diễm phương xí, Thương thất như huỷ, Bách xuyên phất đằng, Chu đạo như chỉ. Công tỵ đạo nhi khứ chiên, viên vu tư hề lệ chỉ. Thác dĩ điếu nhi ẩn chi, khương cao thượng kỳ tâm chí. Thìn kỳ tình không liễm diễm, biệt phố sâm si, hàn ba luyện nhược, khê thuỷ liên y; niểu trúc can chi địch địch, tản hương nhĩ chi phi phi. Hoặc yển hoặc lý, du dương hồ hạnh tảo chi thượng, hoặc chiên hoặc vị, dương ngữ hồ chiểu chỉ chi my; nhậm bỉ sở thích, phỉ ngã thị kỳ.",客趨而問之，叟曰：子不聞太公之釣璜者乎？當其虐焰方熾，商室如燬，百川沸騰，周道如砥。公避道而去旃，爰于茲兮戾止。托以釣而隱之，姜高尚其心志。辰其晴空瀲灩，別浦參差，寒波練若，溪水漣漪；裊竹竿之籊籊，散香餌之菲菲。或鰋或鯉，遊揚乎荇藻之上；或鱣或鮪，洋圉乎沼沚之湄。任彼所適，匪我是期。
"Thúc hữu hoàng chi hề tự, phân ngã điếu nhi ngộ chi. Tưởng hoàng thiên chi tích thuỵ, khỉ xuyên cơ chi hiệu kỳ. Trạng loại bán bích, vô hà vô tỳ. Phỉ thông phỉ tuy, phỉ châu phỉ ky, như khuê như chương, như tông như ly. Kỳ cương nghị dã khả dĩ tỷ công chi dũng liệt, kỳ kiên ngạnh dã khả dĩ giảo công chi thọ kỳ, kỳ chẩn lật dã khả dĩ bễ công chi tiết tháo, kỳ ôn nhuận dã khả dĩ thị công chi dung nghi, kỳ thuỵ quang dã khả dĩ giảo công tá vương chi tượng, kỳ thương sắc dã khả dĩ biểu Chu gia thụ mệnh chi ky. Khởi phi thiên giáng quyết tường dĩ chương quân thần chi đức ư đương thời hồ?",倏有璜之奚自，紛我釣而遇之。想皇天之錫瑞，豈川姬之效奇。狀類半壁，無瑕無疵。匪璁匪雖，匪珠匪璣，如珪如璋，如琮如璃。其剛毅也可以比公之勇烈，其堅硬也可以較公之壽耆，其縝栗也可以媲公之節操，其溫潤也可以視公之容儀，其瑞光也可以較公佐王之象，其蒼色也可以表周家受命之基。豈非天降厥祥以章君臣之德於當時乎？
"Chí nhược Tây Bá xuất liệp ư bỉ chi cương, thức kỳ hiền triết, đồng tải dĩ trang, suy Thượng phủ dĩ mệnh danh, cầu thị ngã ư chu hàng. Duy lương bỉ chi vũ thần, viết ngã Chu chi thị đương. Nãi đồng tâm nhi hiệp đức, cung thiên phạt nhi túc tương, chí tiền đồ chi đảo qua, lượng nhất phạt nhi khắc Thương. Viên sùng đức nhi báo công, tỷ Chu tộ chi ích xương. Y! thiên mệnh chi như thử, khỉ phi thiên tích ngọc hoàng nhi thị quyết tường giả hồ?",至若西伯出獵於彼之疆，識其賢哲，同載以裝，推上父以命名，求示我於周行。唯涼彼之武臣，曰我周之是當。乃同心而協德，恭天伐而肅將，至前徒之倒戈，諒一伐而克商。爰崇德而報功，俾周祚之益昌。噫！天命之如此，豈非天錫玉璜而示厥祥者乎？
"Khách nan chi viết: tẩu chi ngôn vu hỹ, hà lục kinh vô nhất tự chi ký, tiên triết tuyệt bán ngữ chi từ?",客難之曰：叟之言蕪矣，何六經無一字之記，先哲絕半語之詞？
"Tẩu ngữ chi viết: tử đồ đạm văn, vị thường hải thị. Bất hữu kỳ tường, thục minh chí lý? Hà xuất long mã, dĩ hiệu Hy thị hữu đức chi trưng, thiên tích Huyền Khuê dĩ biểu Đại Vũ bình thành chi trị, khởi bất thị dĩ minh trưng nhi biểu kỳ gia thuỵ giả hồ?",叟語之曰：子徒窞聞，未常海視。不有奇祥，孰明至理？河出龍馬以效羲氏有德之徵，天錫玄圭以表大禹平成之治，豈不示以明徵而表其嘉瑞者乎？
"Tẩu ngôn dĩ, cổ duệ nhi thệ.",叟言已，鼓枻而逝。
"Khách nhược hữu thất, thiểu nhiên trường vị. Nãi ca viết:",客若有失，愀然長喟。乃歌曰：
"Bàn Khê chi thuỷ, thanh thả liên y!",磻溪之水，清且漣漪！
"Điếu hoàng chi sự, kim kỳ dĩ phi,",釣璜之事，今其已非，
"Thái Công phương hình hề, thiên cổ như ty.",太公芳型兮，千古如斯。
"Cửu nguyệt thâm thu hề, tứ dã phi sương,",九月深秋兮，四野飛霜，
"Thiên cao thuỷ hạc hề, hàn nhạn bi thương.",天高水涸兮，寒雁悲傷。
"Tối khổ nhung biên hề, nhật dạ bàng hoàng,",最苦戎邊兮，日夜徬徨，
"Phi kiên chấp nhuệ hề, cốt lật sa cương.",披肩執銳兮，骨慄沙崗。
"Ly gia thập niên hề, phụ mẫu sinh biệt,",離家十年兮，父母生別，
"Thê tử hà kham hề, độc túc cô phòng.",妻子何堪兮，獨宿孤房。
"Tuy hữu du điền hề, thuỳ dữ chi thủ,",雖有腴田兮，誰與之守，
"Lân gia tửu thục hề, thục dữ chi thường.",鄰家酒熟兮，孰與之嚐。
"Bạch phát y môn hề, vọng xuyên thu thuỷ,",白髮依門兮，望穿秋水，
"Trĩ tử ức niệm hề, lệ đoạn can trường.",稚子憶念兮，淚斷肝腸。
"Hồ mã tê phong hề, thượng tri luyến thổ,",胡馬嘶風兮，尚知戀土，
"Nhân sinh khách cửu hề, ninh vong cố hương.",人生客久兮，寧忘故鄉。
"Nhất đán giao binh hề, đạp nhẫn nhi tử,",一旦交兵兮，踏刃而死，
"Cốt nhục vi nê hề, suy thảo hào lương.",骨肉為泥兮，衰草濠梁。
"Hồn phách du du hề, uổng tri sở ỷ,",魂魄悠悠兮，枉知所倚，
"Tráng chí liêu liêu hề, phó chi hoang đường.",壯志寥寥兮，付之荒唐。
"Đương thử vĩnh dạ hề, truy tư thoái tỉnh,",當此永夜兮，追思退省，
"Cập tảo tán Sở hề, miễn tử thù phương.",及早散楚兮，免死殊方。
"Ngã ca khởi đản hề, thiên khiển cáo nhữ,",我歌豈誕兮，天譴告汝，
"Nhữ kỳ tri mệnh hề, vật vị diểu mang.",汝其知命兮，勿謂渺茫。
"Hán vương hữu đức hề, hàng quân bất sát,",漢王有德兮，降軍不殺，
"Ai cáo quy tịch hề, phóng nhữ ngao tường.",哀告歸籍兮，放汝翱翔。
"Vật thủ không doanh hề, lương đạo dĩ tuyệt,",勿守空營兮，糧道已絕，
"Chỉ nhật cầm Vũ hề, ngọc thạch câu thương.",指日擒羽兮，玉石俱傷。
"Sở chi thanh hề, tán Sở tốt,",楚之聲兮，散楚卒，
"Ngã năng xuy hề, hiệp lục luật.",我能吹兮，協六律。
"Ngã phi Tư hề, phẩm Đan Dương,",我非胥兮，品丹陽，
"Ngã phi Trâu hề, ca Yên Thất.",我非鄒兮，歌燕室。
"Tiên âm triệt hề, thông cửu thiên,",仙音徹兮，通九天，
"Thu phong khởi hề, sở vong nhật.",秋風起兮，楚亡日。
"Sở tức vong hề, nhữ yên quy?",楚即亡兮，汝焉歸？
"Thì bất đãi hề, như điện tật.",時不待兮，如電疾。
"Ca hề ca hề tam bách tự,",歌兮歌兮三百字，
Tự tự cú cú hữu thâm ý.,字字句句有深意。
"Vọng nhữ mạc tác đẳng nhàn khan,",望汝莫作等閒看，
"Nhập nhĩ quan tâm, nhĩ môn lao lao địa cẩn ký.",入耳關心，你們牢牢地謹記。
Đại thiên hành hoá hoàng thượng nhược viết:,代天行化皇上若曰。
Cái văn:,蓋聞：
"Nhân nghĩa chi cử, yếu tại an dân,",仁義之舉，要在安民，
"Điếu phạt chi sư, mạc tiên khử bạo.",弔伐之師，莫先去暴。
"Duy, ngã Đại Việt chi quốc,",惟，我大越之國，
Thực vi văn hiến chi bang.,實為文獻之邦。
"Sơn xuyên chi phong vực ký thù,",山川之封域既殊，
Nam bắc chi phong tục diệc dị.,南北之風俗亦異。
"Tự Triệu, Đinh, Lý, Trần chi triệu tạo ngã quốc,",自趙丁李陳之肇造我國，
"Dữ Hán, Đường, Tống, Nguyên nhi các đế nhất phương.",與漢唐宋元而各帝一方。
"Tuy cường nhược thì hữu bất đồng,",雖強弱時有不同
Nhi hào kiệt thế vị thường phạp.,而豪傑世未常乏。
"Cố Lưu Cung tham công dĩ thủ bại,",故劉龔貪功以取敗，
Nhi Triệu Tiết hiếu đại dĩ xúc vong.,而趙禼好大以促亡。
"Toa Đô ký cầm ư Hàm Tử quan,",唆都既擒於鹹子關，
Ô Mã hựu ế ư Bạch Đằng hải.,烏馬又殪於白藤海。
"Kê chư vãng cổ,",嵇諸往古，
Quyết hữu minh trưng.,厥有明徵。
Khoảnh nhân Hồ chính chi phiền hà.,頃因胡政之煩苛。
Chí sử nhân tâm chi oán bạn.,至使人心之怨叛。
"Cuồng Minh tứ khích, nhân dĩ độc ngã dân;",狂明伺隙，因以毒我民；
"Ác đảng hoài gian, cánh dĩ mại ngã quốc.",惡黨懷奸，竟以賣我國。
"Hân thương sinh ư ngược diễm,",焮蒼生於虐焰，
Hãm xích tử ư hoạ khanh.,陷赤子於禍坑。
"Khi thiên võng dân, quỷ kế cái thiên vạn trạng;",欺天罔民，詭計蓋千萬狀；
Liên binh kết hấn nẫm ác đãi nhị thập niên.,連兵結釁稔惡殆二十年。
"Bại nghĩa thương nhân, càn khôn kỷ hồ dục tức;",敗義傷仁，乾坤幾乎欲息；
"Trọng khoa hậu liễm, sơn trạch mi hữu kiết di.",重科厚歛，山澤靡有孑遺。
"Khai kim trường tái mạo lam chướng nhi phủ sơn đào sa,",開金場塞冒嵐瘴而斧山淘沙，
Thái minh châu tắc xúc giao long nhi căng yêu thộn hải.,採明珠則觸蛟龍而緪腰汆海。
"Nhiễu dân thiết huyền lộc chi hãm tịnh,",擾民設玄鹿之陷阱，
Điển vật chức thuý cầm chi võng la.,殄物織翠禽之網羅。
"Côn trùng thảo mộc giai bất đắc dĩ toại kỳ sinh,",昆虫草木皆不得以遂其生，
Quan quả điên liên câu bất hoạch dĩ an kỳ sở.,鰥寡顛連俱不獲以安其所。
Tuấn sinh linh chi huyết dĩ nhuận kiệt hiệt chi vẫn nha;,浚生靈之血以潤桀黠之吻牙；
