vi,cn
"Uy dĩ nam xuyên thuỷ,",逶迤南川水，
Minh diệt thanh lâm đoan.,明滅青林端。
"Nam sơn bắc xá hạ,",南山北垞下，
Kết vũ lâm Y hồ.,結宇臨欹湖。
"Mỗi dục thái tiều khứ,",每欲採樵去，
Biển chu xuất cô bồ.,扁舟出孤蒲。
"Cự tỵ nghi sơn cát,",巨鼻宜山褐，
Bàng my nhập khổ ngâm.,龐眉入苦吟。
"Phi quân xướng nhạc phủ,",非君唱樂府，
Thuỳ thức oán thu thâm?,誰識怨秋深？
"Khai liêm kiến tân nguyệt,",開簾見新月，
Tức tiện há giai bái.,即便下階拜。
"Tế ngữ nhân bất văn,",細語人不聞，
Bắc phong xuy quần đái.,北風吹裙帶。
"Tị hiền sơ bãi tướng,",避賢初罷相，
Lạc thánh thả hàm bôi.,樂聖且銜杯。
"Vị vấn môn tiền khách,",為問門前客，
Kim triêu kỷ cá lai?,今朝幾個來?
"Khởi thị muội dung hoa,",豈是昧容華，
Khởi bất tri cơ chức.,豈不知機織。
"Tự thị sinh hàn môn,",自是生寒門，
Lương môi bất tương thức.,良媒不相識。
"Quái lai trang các bế,",怪來妝閣閉，
Triều há bất tương nghinh.,朝下不相迎。
"Tổng hướng xuân viên lý,",總向春園裏，
Hoa gian tiếu ngữ thanh.,花間笑語聲。
"Thương Ngô thiên tải hậu,",蒼梧千載後，
Ban trúc đối Tương Nguyên.,斑竹對湘沅。
"Dục thức Tương Phi oán,",欲識湘妃怨，
Chi chi mãn lệ ngân.,枝枝滿淚痕。
"Ba thuỷ cấp như tiễn,",巴水急如箭，
Ba thuyền khứ nhược phi.,巴船去若飛。
"Thập nguyệt tam thiên lý,",十月三千里，
Lang hành kỷ thì quy?,郎行幾時歸？
"Thanh bồ hàm tử nhung,",青蒲銜紫茸，
Trường diệp phục tòng phong.,長葉復從風。
"Dữ quân đồng chu khứ,",與君同舟去，
Bạt bồ Ngũ Hồ trung.,拔蒲五湖中。
"Triêu phát Quế Lan chử,",朝發桂蘭渚，
Trú tức tang du hạ.,晝息桑榆下。
"Dữ quân đồng bạt bồ,",與君同拔蒲，
Cánh nhật bất thành bả.,竟日不成把。
"Bất giác nữ đầu bạch,",不覺女頭白，
Báo nhĩ tác giả thức.,報你作者識。
"Nhược vấn Phật cảnh giới,",若問佛境界，
Long môn tao điểm ngạch.,龍門遭點額。
"Lục vân đương song phiên,",綠雲當窗翻，
Thanh âm mãn lang vũ.,清音滿廊廡。
"Phong vũ tống thu hàn,",風雨送秋寒，
Trung tâm bất ngôn khổ.,中心不言苦。
"Công cái tam phân quốc,",功蓋三分國，
Danh thành Bát trận đồ.,名成八陣圖。
"Giang lưu thạch bất chuyển,",江流石不轉，
Di hận thất thôn Ngô.,遺恨失吞吳。
"Cửu bệnh vô nhân vấn,",久病無人問，
Sơn gian hữu Phật y.,山間有佛醫。
"Nhàn giai ngoa ảnh bạn,",閑階靴影畔，
Hướng noãn hạ sàng trì.,向暖下床遲。
"Hương đăng bạn tàn mộng,",香燈伴殘夢，
Sở quốc tại thiên nhai.,楚國在天涯。
"Nguyệt lạc tử quy yết,",月落子規歇，
Mãn đình sơn hạnh hoa.,滿庭山杏花。
"Bích Giản tuyền thuỷ thanh,",碧澗泉水清，
Hàn sơn nguyệt hoa bạch.,寒山月華白。
"Mặc tri thần tự minh,",默知神自明，
Quán không cảnh du tịch.,觀空境逾寂。
"Đông Lâm tống khách xứ,",東林送客處，
Nguyệt xuất bạch viên đề.,月出白猿啼。
"Tiếu biệt Lư sơn viễn,",笑別盧山遠，
Hà phiền quá Hổ khê.,何煩過虎溪。
"Biệt ly vô viễn cận,",別離無遠近，
Lâm lão cấm sầu nan.,臨老禁愁難。
"Dục khứ cánh hồi thủ,",欲去更回首，
Xuyên nguyên tăng mộ hàn.,川原增暮寒。
"Tri hữu tiền kì tại,",知有前期在，
Nan phân thử dạ trung.,難分此夜中。
"Vô tướng cố nhân tửu,",無將故人酒，
Bất cập Thạch Vưu phong.,不及石尤風。
"Giang thượng phong yên tích,",江上風煙積，
Sơn u vân vụ đa.,山幽雲霧多。
"Tống quân Nam Phố ngoại,",送君南浦外，
Hoàn vọng tương như hà!,還望將如何。
"Tống biệt đáo trung lưu,",送別到中流，
Thu thuyền ỷ độ đầu.,秋船倚渡頭。
"Tương khan thượng bất viễn,",相看尚不遠，
Vị khả tức hồi chu.,未可即回舟。
"Uý đồ phương vạn lý,",畏途方萬里，
Sinh nhai cận bách niên.,生涯近百年。
"Bất tri tương bạch thủ,",不知將白首，
Hà xứ nhập hoàng tuyền.,何處入黃泉？
"Tam tải vi ngô quận,",三載為吳郡，
Lâm kì tổ trướng khai.,臨岐祖帳開。
"Tuy phi tạ kiệt hiệt,",雖非謝桀黠，
Thả vi nhất bùi hồi.,且為一裴回。
"Lưu thuỷ xương môn ngoại,",流水閶門外，
Thu phong xuy liễu điều.,秋風吹柳條。
"Tòng lai tống khách xứ,",從來送客處，
Kim nhật tự hồn tiêu.,今日自魂銷。
"Sơn nguyệt hiểu nhưng tại,",山月曉仍在，
Lâm phong lương bất tuyệt.,林風涼不絕。
"Ân cần như hữu tình,",殷勤如有情，
Trù trướng lệnh nhân biệt.,惆悵令人別。
"Y trì động xa mã,",依遲動車馬，
Trù trướng xuất tùng la.,惆悵出松蘿。
"Nhẫn biệt thanh sơn khứ,",忍別青山去，
Kỳ như lục thuỷ hà.,其如綠水何。
"Diểu diểu thú yên cô,",渺渺戍煙孤，
Mang mang tái thảo khô.,茫茫塞草枯。
"Lũng đầu na dụng bế,",隴頭那用閉，
Vạn lý bất phòng Hồ.,萬里不防胡。
"Tuyệt mạc đại quân hoàn,",絕漠大軍還，
Bình sa độc thú nhàn.,平沙獨戍閒。
"Không lưu nhất phiến thạch,",空留一片石，
Vạn cổ tại Yên san.,萬古在燕山。
"Khoát khai thanh minh điên,",豁開青冥顛，
Tả xuất vạn trượng tuyền.,寫出萬丈泉。
"Như tài nhất điều tố,",如裁一條素，
Bạch nhật huyền thu thiên.,白日懸秋天。
"Tấn bộc lạc nguy tằng,",迅瀑落危層，
Lãnh thanh văn hoàn hác.,冷聲聞還壑。
"Tiêm tiêm nhất điểm trần,",纖纖一點塵，
Vô xứ khả thê bạc.,無處可栖泊。
"Sản khước Quân sơn hảo,",剗却君山好，
Bình phô Tương thuỷ lưu.,平铺湘水流。
"Ba Lăng vô hạn tửu,",巴陵无限酒，
Tuý sát Động Đình thu.,醉杀洞庭秋。
"Tạc phá thương đài địa,",鑿破蒼苔地，
Thâu tha nhất phiến thiên.,偷他一片天。
"Bạch vân sinh kính lý,",白雲生鏡裏，
Minh nguyệt lạc giai tiền.,明月落階前。
"Bách chiến vị ngôn phi,",百戰未言非，
Cô quân kinh dạ vi.,孤軍驚夜圍。
"Sơn hà ý khí tận,",山河意氣盡，
Lệ thấp mỹ nhân y.,淚濕美人衣。
"Cầm điệu thu ta,",琴調秋些，
Hồ phong nhiễu tuyết.,胡風繞雪。
"Giáp tuyền thanh yến,",峽泉聲嚥，
Giai nhân sầu ta.,佳人愁些。
"Đại hải ba đào thiển,",大海波濤淺，
Tiểu nhân phương thốn thâm.,小人方寸深。
"Hải khô chung kiến để,",海枯終見底，
Nhân tử bất tri tâm.,人死不知心。
"Môn nghiêm cửu trùng tĩnh,",門嚴九重靜，
Song u nhất thất nhàn.,窗幽一室閑。
"Hảo thị tu tâm xứ,",好是修心處，
Hà tất tại thâm sơn.,何必在深山。
"Tình thiểu xuân quang thiển,",晴少春光淺，
Hàn đa tửu lực vi.,寒多酒力微。
"Nhất thanh sơn giá quá,",一聲山鷓過，
Sổ điểm hải đường phi.,數點海棠飛。
"Bán hủ lâm phong thụ,",半朽臨風樹，
Đa tình lập mã nhân.,多情立馬人。
"Khai Nguyên nhất châu liễu,",開元一株柳，
Trường Khánh nhị niên xuân.,長慶二年春。
"Cẩn hoa bất kiến tịch,",槿花不見夕，
Nhất nhật nhất hồi tân.,一日一回新。
"Đông phong xuy đào lý,",東風吹桃李，
Tu đáo minh niên xuân.,須到明年春。
"Hàn mặc ngô nho sự,",翰墨吾儒事，
Công danh thiếu tráng thì.,功名少壯時。
"Gia thanh khán nhữ bối,",家聲看汝輩，
Vật vị thượng hài nhi.,勿謂尚孩兒。
"Chỉ kê giao nha đường,",只雞膠牙糖，
Điển y cung biện hương.,典衣供瓣香。
"Gia trung vô trưởng vật,",家中無長物，
Khởi độc thiểu hoàng dương.,豈獨少黃羊。
"Đàn loan ánh không khúc,",檀欒映空曲，
Thanh thuý dạng liên y.,青翠漾漣漪。
"Ám nhập Thương Sơn lộ,",暗入商山路，
Tiều nhân bất khả tri.,樵人不可知。
"Minh lưu hu thả trực,",明流紆且直，
Lục tiểu mật phục thâm.,綠筱密復深。
"Nhất kính thông sơn lộ,",一徑通山路，
Hành ca vọng cựu sầm.,行歌望舊岑。
"Hoa tương nhân cộng tiếu,",花將人共笑，
Ly ngoại lộ phồn chi.,籬外露繁枝。
"Tống Ngọc Lâm Giang trạch,",宋玉臨江宅，
Tường đê bất ngại khuy.,牆低不礙窺。
"Viễn thiên minh nguyệt xuất,",遠天明月出，
Chiếu thử thuỳ gia lâu?,照此誰家樓？
"Thượng hữu mộng y thường,",上有夢衣裳，
Lương phong xuy bất sầu.,涼風吹不愁。
"Bản lai vô xứ sở,",本來無處所，
Xứ sở thị chân tông.,處所是真宗。
"Chân tông như thị huyễn,",真宗如是幻，
Huyễn hữu tức không không.,幻有即空空。
Tuyệt hảo chiên đàn thụ,絕好栴檀樹
Phồn hương quýnh bất quần,繁香迥不群
Hận cừ thiên tính biệt,恨渠天性別
Chỉ tại nghịch phong văn.,只在逆風聞
"Tiểu khạp nhị thăng tửu,",小榼二升酒，
Tân điệm lục xích sàng.,新簟六尺床。
"Năng lai dạ thoại bất,",能來夜話吥，
Trì bạn dục thu lương.,池畔欲秋涼。
"Túc tích thanh vân chí,",宿昔青雲志，
Tha đà bạch phát niên.,蹉跎白髮年。
"Thuỳ tri minh kính lý,",誰知明鏡裏，
Hình ảnh tự tương liên.,形影自相憐。
"Hán đạo phương toàn thịnh,",漢道方全盛，
Triêu đình túc vũ thần.,朝廷足武臣。
"Hà tu bạc mệnh thiếp,",何須薄命妾，
Tân khổ sự hoà thân.,辛苦事和親。
"Yểm lệ từ Đan Phong,",掩淚辭丹風，
Hàm bi hướng Bạch Long.,銜悲向白龍。
"Thiền Vu lãng kinh hỉ,",單于浪驚喜，
Vô phục cựu thì dung.,無復舊時容。
"Hồ địa vô hoa thảo,",胡地無花草，
Xuân lai bất tự xuân.,春來不似春。
"Tự lai y đới hoãn,",自來衣帶緩，
Phi thị vị yêu thân.,非是為腰身。
"Sơn trung hà sở hữu,",山中何所有，
Lĩnh thượng đa bạch vân.,嶺上多白雲。
"Chỉ khả tự di duyệt,",只可自怡悅，
Bất kham trì ký quân.,不堪持寄君。
"Khả thán đình cơ đức,",可嘆停機德，
Kham liên vịnh nhứ tài!,堪憐詠絮才！
"Ngọc đới lâm trung quải,",玉帶林中掛，
Kim trâm tuyết lý mai.,金簪雪裏埋。
"Dục khiết hà tằng khiết,",欲潔何曾潔，
Vân không vị tất không;,云空未必空；
"Khả liên kim ngọc chất,",可憐金玉質，
Chung hãm náo nê trung.,終陷淖泥中。
"Tử hệ Trung sơn lang,",子系中山狼，
Đắc chí tiện xương cuồng;,得志便猖狂；
"Kim khuê hoa liễu chất,",金閨花柳質，
Nhất tái phó hoàng lương.,一載赴黃粱。
"Thế bại hưu vân quý,",勢敗休云貴，
Gia vong mạc luận thân;,家亡莫論親；
"Ngẫu nhân tế thôn phụ,",偶因濟村婦，
Xảo đắc ngộ ân nhân.,巧得遇恩人。
"Tiều tuỵ phùng tân tuế,",憔悴逢新歲，
Phương phi kiến dương xuân.,芳菲見陽春。
"Triêu lai minh kính lý,",朝來明鏡裏，
Bất nhẫn bạch đầu nhân.,不忍白頭人。
"Tuế khứ sầu chung tại,",歲去愁終在，
Xuân hoàn mệnh bất lai.,春還命不來。
"Trường hu vấn thừa tướng,",長吁問丞相，
Đông các kỷ thì khai?,東閣幾時開？
"Sinh tử mạc phi mệnh,",生死莫非命，
Như hà nộ sinh giả.,如何怒生者。
"Ô hô nương bất tại,",嗚呼娘不在，
Thuỳ năng phục tín ngã.,誰能復信我。
"Nguyệt hắc kiến ngư đăng,",月黑見漁燈，
Cô quang nhất điểm huỳnh.,孤光一點螢。
"Vi vi phong thốc lãng,",微微風簇浪，
Tản tác mãn hà tinh.,散作滿河星。
"Phá hiểu sổ thanh địch,",破曉數聲笛，
Lăng ba nhất diệp chu.,凌波一葉舟。
"Trạo ca tương gián phát,",掉歌相間發，
Yên thủy diểu tiền châu.,煙水渺前州。
"Chung Nam âm lĩnh tú,",終南陰嶺秀，
Tích tuyết phù vân đoan.,積雪浮雲端。
"Lâm biểu minh tễ sắc,",林表明霽色，
Thành trung tăng mộ hàn.,城中增暮寒。
"Lâm hác tiền duyên hữu,",林壑前緣有，
Thanh sơn nhận tích nhân.,青山認昔人。
"Thử thìn sơ thức diện,",此辰初識面，
Tha nhật dĩ tương thân.,他日已相親。
"Chu trung vọng nhật xuất,",舟中望日出，
Nhật xuất viễn sơn đông.,日出遠山東。
"Sơn đông huyền hoả kính,",山東懸火鏡，
Hoả kính chiếu chu trung.,火鏡照舟中。
"Khai quyển lương âm hạ,",開卷涼陰下，
Dung quang chiếu nguyệt minh.,容光照月明。
"Tĩnh trung tâm dị động,",靜中心易動，
Lạc diệp tác thu thanh.,落葉作秋聲。
"Hoang điền nhất phiến thạch,",荒田一片石，
Văn tự mãn thanh đài.,文字滿青苔。
"Bất thị phùng nhàn khách,",不是逢閑客，
Hà nhân khẳng độc lai.,何人肯讀來。
"Dục biệt khiên lang y,",欲別牽郎衣，
Lang kim đáo hà xứ.,郎今到何處。
"Bất hận quy lai trì,",不恨歸來遲，
Mạc hướng Lâm Cùng khứ.,莫向臨邛去。
"Khô đồng thuỳ sở chế,",枯桐誰所製，
Uyển kiến thái cổ tâm.,宛見太古心。
"Du du đình tử ngoại,",悠悠亭子外，
Sơn thuỷ tự tri âm.,山水自知音。
"Phá lạc cổ quan thành,",破落古關城，
Do năng ách đế kinh.,猶能扼帝京。
"Kim triêu hành khách quá,",今朝行客過，
Bất đãi hiểu kê minh.,不待曉雞鳴。
"Liêu lạc cố hành cung,",寥落故行宮，
Cung hoa tịch mịch hồng.,宮花寂寞紅。
"Bạch đầu cung nữ tại,",白頭宮女在，
Nhàn toạ thuyết Huyền Tông.,閑坐說玄宗。
"Cổ hữu “Thiên văn” nghĩa,",古有千文義，
Tu tri hậu học thông.,須知後學通。
"Thánh hiền câu gian xuất,",聖賢俱間出，
Dĩ thử phát mông đồng.,以此發矇童。
"Hữu tín sác ký thư,",有信數寄書，
Vô tín tâm tương ức.,無信心相憶。
"Mạc tác bình lạc tỉnh,",莫作瓶落井，
Nhất khứ vô tiêu tức.,一去無消息。
"Xuân chủng nhất lạp túc,",春種一粒粟，
Thu thâu vạn khoả tử.,秋收萬顆子。
"Tứ hải vô nhàn điền,",四海無閑田，
Nông phu do ngã tử.,農夫猶餓死。
"Sừ hoà nhật đương ngọ,",鋤禾日當午，
Hãn trích hoà hạ thổ.,汗滴禾下土。
"Thuỳ tri bàn trung xan,",誰知盤中餐，
Lạp lạp giai tân khổ.,粒粒皆辛苦。
"Cổ thụ xuân phong nhập,",古樹春風入，
Dương hoà lực thái trì.,陽和力太遲。
"Mạc ngôn sinh ý tận,",莫言生意盡，
Cánh dẫn vạn niên chi.,更引萬年枝。
"Nhất hợp tương tư lệ,",一合相思淚，
Lâm giang sái tố thu.,臨江灑素秋。
"Bích ba như hội ý,",碧波如會意，
Khước dữ hướng tây lưu.,卻與向西流。
"Hà diệp lục như cái,",荷葉綠如蓋，
Hà hoa hồng tự nhan.,荷花紅似顏。
"Tư quân vị đắc kiến,",思君未得見，
Trì thượng không bàn hoàn.,池上空盤桓。
"Tịnh tảo hoàng kim giai,",淨掃黃金階，
Phi sương hạo như tuyết.,飛霜皎如雪。
"Hạ liêm đàn không hầu,",下簾彈箜篌，
Bất nhẫn kiến thu nguyệt.,不忍見秋月。
"Hà biên Chức Nữ tinh,",河邊織女星，
Hà bạn khiên Ngưu Lang.,河畔牽牛郎。
"Vị đắc độ thanh thiển,",未得渡清淺，
Tương đối dao tương vọng.,相對遙相望。
"Tạc dạ Vu sơn trung,",昨夜巫山中，
Thất khước Dương Đài nữ.,失卻陽台女。
"Triêu lai hương các lý,",朝來香閣裏，
Độc bạn Sở vương ngữ.,獨伴楚王語。
"Đông sơn minh nguyệt xuất,",東山明月出，
Lâu thượng chính bồi hồi.,楼上正徘徊。
"Tư quân quân bất kiến,",思君君不見，
Cầm tửu vi thuỳ huề.,琴酒為誰携。
Chúng huỷ toàn tiêu lạc,眾卉全蕭落，
Phương tùng độc phát huy,芳叢獨發揮。
Trinh tâm sương cộng bạch,貞心霜共白，
Cao dữ nguyệt vi kỳ,高與月爲期。
"Cúc hoa như chí sĩ,",菊花如志士，
Quá thì hữu dư hương.,過時有餘香。
"Xán xán tư tịch hợp,",粲粲滋夕合，
Anh anh ngạo thần sương.,英英傲晨霜。
"Ải địa quan môn ủng,",隘地關門擁，
Sơn lâu cổ giốc truyền.,山樓鼓角傳。
"Trường phong xuy bất yết,",長風吹不歇，
Tái thảo tự niên niên.,塞草自年年。
"Cung điện thiều nghiêu tủng,",宮殿岧嶢聳，
Nhai cù cạnh vật hoa.,街衢競物華。
"Phong vân kim tế hội,",風雲今際會，
Thiên cổ đế vương gia.,千古帝王家。
"Trắc kính âm cung hoè,",仄徑蔭宮槐，
U âm đa lục đài.,幽陰多綠苔。
"Ưng môn đãn nghinh tảo,",應門但迎掃，
Uý hữu sơn tăng lai.,畏有山僧來。
"Môn tiền cung hoè mạch,",門前宮槐陌，
Thị hướng Y hồ đạo.,是向欹湖道。
"Thu lai sơn vũ đa,",秋來山雨多，
Lạc nhật vô nhân tảo.,落日無人掃。
"Mã tê bạch nhật mộ,",馬嘶白日暮，
Kiếm minh thu khí lai.,劍鳴秋氣來。
"Ngã tâm hạo vô tế,",我心浩無際，
Hà thượng không bồi hồi.,河上空徘徊。
"Liễn lộ sinh thu thảo,",輦路生秋草，
Thượng Lâm hoa mãn chi.,上林花滿枝。
"Bằng cao hà hạn ý,",憑高何限意，
Vô phục thị thần tri.,無復侍臣知。
"Thiên địa tiếp thanh thu,",天地接清秋，
Cử mục giang sơn sắc.,舉目江山色。
"Lâm hành vô tha ngôn,",臨行無他言，
Cửu tự tín tương đắc.,久自信相得。
"Cửu hạn phùng cam vũ,",久旱逢甘雨，
Tha hương ngộ cố tri.,他鄉遇故知。
"Động phòng hoa chúc dạ,",洞房花燭夜，
Kim bảng đề danh thì.,金榜題名時。
"Tạc nhật đăng cao bãi,",昨日登高罷，
Kim triêu cánh cử thương.,今朝更舉觴。
"Cúc hoa hà thái khổ,",菊花何太苦，
Tao thử lưỡng trùng dương.,遭此兩重陽。
"Cửu nhật trùng dương tiết,",九日重陽節，
Khai môn hữu cúc hoa.,開門有菊花。
"Bất tri lai tống tửu,",不知來送酒，
Nhược cá thị Đào gia.,若個是陶家。
"Tha hương phùng tố tiết,",他鄉逢素節，
Hà xứ mịch hoàng hoa.,何處覔黄花。
"Bạch phát đăng cao lãn,",白髪登髙嬾，
Tương tiền hướng tửu gia.,將錢向酒家。
"Cửu nhật sơn tăng viện,",九日山僧院，
Đông ly cúc dã hoàng.,東籬菊也黃。
"Tục nhân đa phiếm tửu,",俗人多泛酒，
Thuỳ giải trợ trà hương.,誰解助茶香。
"Vi khách tài ô mạo,",為客裁烏帽，
Tòng nhi cụ lục tôn.,從兒具綠尊。
"Giai thần đối quần đạo,",佳辰對群盜，
Sầu tuyệt cánh thuỳ luân.,愁絕更誰論。
"Cửu nhật Long sơn ẩm,",九日龍山飲，
Hoàng hoa tiếu trục thần.,黃花笑逐臣。
"Tuý khan phong lạc mạo,",醉看風落帽，
Vũ ái nguyệt lưu nhân.,舞愛月留人。
"Nhất vi Ngô quận thú,",一為吳郡守，
Bất giác cúc hoa khai.,不覺菊花開。
"Thuỷ hữu cố viên tứ,",始有故園思，
Thả hỉ chúng tân lai.,且喜眾賓來。
"Dã áp song song một,",野鴨雙雙沒，
Khinh âu lưỡng lưỡng phù.,輕鷗兩兩浮。
"Nhân sinh diệc như thử,",人生亦如此，
Na hữu biệt ly sầu.,那有別離愁。
"Cấp vũ xạ thương bích,",急雨射蒼壁，
Tiễn lâm khiêu vạn châu.,濺林蹺萬珠。
"San căn thuỷ ủng hác,",山根水壅壑，
Man khiếu nhược chú hồ.,漫竅若注壺。
"Thuyền há Quảng Lăng khứ,",船下廣陵去，
Nguyệt minh Chinh Lỗ đình.,月明征虜亭。
"Sơn hoa như tú giáp,",山花如繡頰，
Giang hoả tự lưu huỳnh.,江火似流螢。
"Vũ quá vân sơn bích,",雨過雲山碧，
Lâm u khê thuỷ thanh.,林幽溪水清。
"Đoạn kiều hành khách thiểu,",斷橋行客少，
Thì hữu dã kê thanh.,時有野鷄聲。
"Bạch nhật bất đáo xứ,",白日不到處，
Thanh xuân cáp tự lai.,青春恰自來。
"Đài hoa như mễ tiểu,",苔花如米小，
Diệc học mẫu đơn khai.,亦學牡丹開。
"Đế đức càn khôn đại,",帝德乾坤大，
Uy thanh tĩnh bát diên.,威聲靜八埏。
"U âm mông huệ trạch,",幽陰蒙惠澤，
Ưu ốc bái Xung thiên.,優渥拜沖天。
"Vạn biệt thiên sai sự,",萬別千差事，
Giai tòng vọng tưởng sinh.,皆從妄想生。
"Nhược ly thử phân biệt,",若離此分別，
Hà vật bất tề bình.,何物不齊平。
"Đại tỉ nhân tự cử,",大比因自舉，
Hương thư dĩ loại thăng.,鄉書以類升。
"Danh đề tiên quế tịch,",名題仙桂籍，
Thiên phủ khoái tiên đăng.,天府快先登。
"Tế vũ mai tiền lộ,",細雨埋前路，
Phi hoa đoạn dã kiều.,飛花斷野橋。
"Tiểu đồng thoa lạp túc,",小童簑笠宿，
Cô đĩnh cách khê chiêu.,孤艇隔鸂招。
"Tận nhật hành hải biên,",盡日行海邊，
Đào phong hám thụ truỵ.,濤風撼樹墜。
"Dạ lai thôi chẩm văn,",夜來推枕聞，
Thị đào thị vũ chí.,是濤是雨至。
"Linh linh thất huyền thượng,",泠泠七絃上，
Tĩnh thính tùng phong hàn.,靜聽松風寒。
"Cổ điệu tuy tự ái,",古調雖自愛，
Kim nhân đa bất đàn.,今人多不彈。
"Bát thiên dư lý khách,",八千餘里客，
Nhị thập tứ kiều thu.,二十四橋秋。
"Dị quốc phùng giai cảnh,",異國逢佳景，
Mang trung cưỡng ỷ lâu.,忙中彊倚樓。
"Thao thao đại giang thuỷ,",滔滔大江水，
Thiên địa tương chung thuỷ.,天地相終始。
"Kinh duyệt kỷ thế nhân,",經閱幾世人，
Phục thán thuỳ gia tử?,復嘆誰家子？
"Đông vọng hà du du,",東望何悠悠，
Tây lai trú dạ lưu.,西來晝夜流。
"Tuế nguyệt ký như thử,",歲月既如此，
Vị tâm na bất sầu?,為心那不愁？
"Tư lâu nhật đăng diểu,",茲樓日登眺，
Lưu tuế ám tha đà.,流歲暗蹉跎。
"Toạ yếm Hoài Nam tự,",坐厭淮南寺，
Thu sơn hồng thụ đa.,秋山紅樹多。
"Hoang sơn thu nhật ngọ,",荒山秋日午，
Độc thướng ý du du.,獨上意悠悠。
"Như hà vọng hương xứ,",如何望鄉處，
Tây bắc thị Dung Châu.,西北是融州。
"Bạch nhật y sơn tận,",白日依山盡，
Hoàng Hà nhập hải lưu.,黃河入海流。
"Dục cùng thiên lý mục,",欲窮千里目，
Cánh thướng nhất tằng lâu.,更上一層樓。
"Vật ngoại sơn xuyên cận,",物外山川近，
Tình sơ cảnh ái tân.,晴初景靄新。
"Phương giao hoa liễu biến,",芳郊花柳遍，
Hà xứ bất nghi xuân?,何處不宜春。
"Đào Diệp phục Đào Diệp,",桃葉復桃葉，
Độ giang bất dụng tiếp.,渡江不用楫。
